ra,dec,err_maj,err_min,err_ang,designation,j_m,j_cmsig,j_msigcom,j_snr,h_m,h_cmsig,h_msigcom,h_snr,k_m,k_cmsig,k_msigcom,k_snr,ph_qual,rd_flg,bl_flg,cc_flg,ndet,prox,gal_contam,mp_flg,j_h,h_k,j_k
37.569319,78.549835,0.07,0.06,0,02301663+7832594,8.670,0.017,0.024,10337.8,8.009,0.037,0.040,7591.2,7.858,0.013,0.020,6283.8,AAA,111,111,000,665566,15.3,0,0,0.6610,0.1510,0.8120
35.725072,45.912483,0.06,0.06,90,02225401+4554449,8.182,0.019,0.026,17973.4,8.009,0.007,0.016,8420.0,7.931,0.021,0.026,6295.4,AAA,111,111,000,665666,17.8,0,0,0.1730,0.0780,0.2510
328.056276,76.813492,0.06,0.06,90,21521350+7648485,9.157,0.015,0.023,7579.3,8.009,0.025,0.029,9667.4,7.611,0.017,0.023,8166.2,AAA,111,111,000,777767,24.1,0,0,1.1480,0.3980,1.5460
356.916690,73.608437,0.06,0.06,90,23474000+7336303,8.971,0.017,0.024,7063.7,8.009,0.055,0.057,7333.5,7.634,0.029,0.033,6278.0,AAA,111,111,000,566646,26.0,0,0,0.9620,0.3750,1.3370
124.438095,-39.359161,0.06,0.06,0,08174514-3921329,8.564,0.005,0.018,11798.6,8.009,0.035,0.038,9667.4,7.831,0.013,0.020,5058.5,AAA,111,111,000,666666,10.4,0,0,0.5550,0.1780,0.7330
132.751288,-39.080189,0.06,0.06,90,08510030-3904486,9.133,0.021,0.024,6298.4,8.009,0.049,0.051,8715.9,7.523,0.021,0.026,7198.1,AAA,211,111,000,556656,25.2,0,0,1.1240,0.4860,1.6100
304.122831,75.790413,0.07,0.07,90,20162947+7547254,8.730,0.027,0.032,9782.1,8.009,0.045,0.047,9022.1,7.837,0.027,0.031,5775.9,AAA,111,111,000,566666,10.3,0,0,0.7210,0.1720,0.8930
343.271078,14.021485,0.08,0.06,0,22530505+1401173,8.501,0.033,0.037,14860.4,8.009,0.013,0.020,11489.7,7.902,0.017,0.023,6465.8,AAA,111,111,000,666666,12.5,0,0,0.4920,0.1070,0.5990
253.148359,-31.416580,0.06,0.06,90,16523560-3124596,8.683,0.013,0.021,10573.8,8.009,0.035,0.038,9339.2,7.851,0.019,0.024,5701.9,AAA,111,111,000,666666,14.1,0,0,0.6740,0.1580,0.8320
144.733261,-28.821684,0.06,0.06,90,09385598-2849180,8.369,0.017,0.024,13177.4,8.009,0.045,0.047,9022.1,7.924,0.011,0.018,4975.3,AAA,111,111,000,666666,57.8,0,0,0.3600,0.0850,0.4450
110.369922,-23.643719,0.06,0.06,90,07212878-2338373,9.135,0.023,0.026,6073.4,8.009,0.031,0.034,8134.1,7.577,0.023,0.027,7089.6,AAA,211,111,000,666666,13.3,0,0,1.1260,0.4320,1.5580
115.581057,-23.773424,0.06,0.06,0,07421945-2346243,8.631,0.027,0.032,11885.8,8.009,0.025,0.029,10722.8,7.892,0.023,0.027,5304.2,AAA,111,111,000,775666,13.4,0,0,0.6220,0.1170,0.7390
120.602039,-6.400173,0.11,0.08,90,08022448-0624006,8.690,0.017,0.024,10875.0,8.009,0.021,0.026,8715.9,7.798,0.007,0.016,5214.6,AAA,111,111,000,666666,32.5,0,0,0.6810,0.2110,0.8920
123.157033,-10.139798,0.06,0.06,90,08123768-1008232,8.529,0.015,0.023,13990.4,8.009,0.037,0.040,9667.4,7.931,0.023,0.027,5117.1,AAA,111,111,000,666666,35.0,0,0,0.5200,0.0780,0.5980
253.259238,-32.110313,0.06,0.06,90,16530221-3206371,8.875,0.015,0.023,8859.9,8.009,0.039,0.042,9339.2,7.760,0.017,0.023,6200.4,AAA,111,111,000,666666,12.9,0,0,0.8660,0.2490,1.1150
257.725639,-59.243767,0.06,0.06,90,17105415-5914375,8.644,0.015,0.023,10960.5,8.009,0.039,0.042,8715.9,7.804,0.027,0.031,5556.7,AAA,111,111,000,666655,13.4,0,0,0.6350,0.2050,0.8400
90.291997,30.632042,0.06,0.06,0,06011007+3037553,8.566,0.013,0.021,12190.7,8.009,0.031,0.034,8715.9,7.856,0.021,0.026,6982.7,AAA,111,111,000,666666,30.3,0,0,0.5570,0.1530,0.7100
290.481597,8.244285,0.09,0.08,0,19215558+0814394,9.145,0.019,0.023,6229.2,8.009,0.027,0.031,7858.0,7.477,0.015,0.021,7254.7,AAA,211,111,000,666666,11.7,0,0,1.1360,0.5320,1.6680
