ra,dec,h_m,prox
62.528203,-19.097242,9.001,79.7
76.352441,-16.198046,9.001,78.2
149.942402,31.216646,9.001,86.2
37.979574,-12.826836,9.001,79.2
245.678095,78.532387,9.001,86.9
153.486126,37.371906,9.001,77.3
139.437217,5.833115,9.001,82.4
22.971276,-0.282324,9.001,85.1
178.555219,-15.308606,9.001,83.9
18.311866,29.723284,9.001,94.0
172.187626,20.679199,9.001,87.2
136.468265,15.714431,9.002,110.1
11.446055,-28.261015,9.002,99.4
204.500436,9.060856,9.002,98.7
241.165390,41.305977,9.002,78.2
140.802143,34.907330,9.002,93.5
14.199795,9.738708,9.002,78.8
27.099722,-18.681845,9.003,116.2
167.172251,-9.860724,9.003,82.2
22.759044,7.934261,9.003,82.8
4.483200,-46.968117,9.003,86.0
249.484502,41.033298,9.003,85.5
28.641935,-29.615608,9.003,90.3
237.060623,51.664734,9.003,76.5
345.152708,-26.082163,9.003,75.4
29.434954,-35.707462,9.003,99.9
19.864270,-26.061996,9.003,109.9
161.564155,50.749298,9.003,75.8
160.466383,20.121922,9.003,94.9
325.702471,-60.001221,9.004,86.8
46.523848,-4.558578,9.004,112.7
9.732147,20.544125,9.004,82.1
350.602684,-43.024548,9.004,88.1
202.467518,27.383961,9.004,83.2
216.324992,63.478333,9.004,100.5
38.896062,18.356974,9.004,77.1
343.541187,0.433799,9.004,84.2
155.169100,-0.518542,9.004,75.4
348.266307,13.301985,9.005,83.4
36.468776,8.180442,9.005,97.1
232.569030,28.109129,9.005,85.2
32.330333,-6.824659,9.005,102.0
46.878221,-37.235909,9.005,81.1
44.184749,-8.825685,9.005,80.4
350.886921,15.763772,9.005,85.5
24.292188,-50.983150,9.005,132.8
139.249393,20.354074,9.005,80.1
186.365350,-6.604347,9.005,84.1
198.797684,47.217964,9.005,127.1
59.856056,-27.041002,9.006,104.9
197.162290,31.222446,9.006,109.3
165.825924,2.937412,9.006,89.1
187.490248,0.219434,9.006,83.5
166.111730,50.067837,9.006,80.4
14.857755,24.557461,9.006,83.2
132.567809,5.321624,9.006,94.2
354.906445,-6.790335,9.006,75.7
168.469156,-4.105673,9.006,101.4
194.177340,10.072138,9.006,90.0
358.818731,-2.594930,9.006,99.9
162.547663,58.277843,9.006,75.2
194.524321,41.101326,9.006,86.2
125.377049,36.082138,9.006,87.7
151.532010,-3.659852,9.006,121.5
187.892319,58.363255,9.006,105.4
203.477223,59.591454,9.006,92.6
30.449754,-40.204037,9.006,112.9
18.333326,-9.963159,9.006,86.4
65.618218,-52.835068,9.007,76.5
163.419917,31.761818,9.007,97.8
59.773737,-35.459381,9.007,89.0
211.000997,28.828655,9.007,112.1
345.748690,-6.048401,9.007,80.9
227.107254,80.027481,9.007,86.4
5.123455,-7.937971,9.007,136.5
225.359435,74.353554,9.007,91.8
17.728574,-28.091528,9.007,182.7
19.413079,-16.977955,9.007,110.8
192.517344,-5.766150,9.007,87.8
359.840641,-50.916706,9.008,118.2
189.552541,27.975342,9.008,121.5
198.406861,-19.741226,9.008,95.3
32.452534,13.599929,9.008,110.0
141.051484,1.123110,9.008,75.3
37.746627,14.638790,9.008,92.0
173.382507,24.390516,9.008,82.3
345.049209,-59.745480,9.008,79.2
198.776558,36.632214,9.008,91.1
176.884838,-5.179859,9.009,88.7
196.863650,-21.459421,9.009,87.9
38.513077,8.711727,9.009,81.8
177.751763,46.773132,9.009,79.8
137.643817,43.932529,9.009,103.7
45.443634,-28.045736,9.009,89.1
347.514591,-50.930462,9.009,77.5
52.065378,1.606764,9.009,102.3
184.731424,8.820083,9.009,79.2
236.050366,-7.644935,9.010,76.7
21.145341,-27.339428,9.010,76.2
213.356610,23.901035,9.010,75.7
153.331515,44.748585,9.010,112.8
186.194101,40.677078,9.010,76.6
355.676840,9.982337,9.010,108.6
19.994268,24.637186,9.010,76.2
122.020483,51.421726,9.010,89.8
38.439412,-30.818064,9.010,91.9
165.649124,10.327367,9.010,75.3
170.122294,16.257357,9.010,88.0
158.316044,-16.954809,9.011,82.5
74.129130,-9.864511,9.011,83.7
166.974676,-6.337916,9.011,90.8
188.924555,35.718536,9.011,83.6
333.986628,-47.071617,9.011,95.3
355.469774,-28.366974,9.011,95.2
33.346234,-4.311782,9.011,79.2
2.874648,-17.459352,9.011,76.2
216.697908,36.241112,9.011,125.7
140.840347,20.436802,9.011,96.5
185.171978,31.655767,9.011,75.4
42.551487,-45.874157,9.011,84.4
217.765105,3.599162,9.011,99.4
354.325679,-26.400703,9.012,88.4
336.005082,-26.548628,9.012,86.3
351.361808,-30.212437,9.012,75.5
