ra,dec,err_maj,err_min,err_ang,designation,j_m,j_cmsig,j_msigcom,j_snr,h_m,h_cmsig,h_msigcom,h_snr,k_m,k_cmsig,k_msigcom,k_snr,ph_qual,rd_flg,bl_flg,cc_flg,ndet,prox,pxpa,pxcntr,gal_contam,mp_flg,jdate,j_h,h_k,j_k
173.893631,-56.443405,0.06,0.06,90,11353447-5626362,7.125,0.015,0.023,42897.3,6.001,0.043,0.045,63607.8,5.420,0.011,0.018,49936.7,AAA,111,111,000,666666,14.7,145,775004018,0,0,2451569.8724,1.1240,0.5810,1.7050
172.645882,-57.133881,0.06,0.06,90,11303501-5708019,6.495,0.007,0.018,76635.5,6.019,0.041,0.044,62561.9,5.868,0.029,0.033,34215.3,AAA,111,111,000,666666,12.9,242,774689669,0,0,2451569.8366,0.4760,0.1510,0.6270
161.295439,-56.043968,0.06,0.06,0,10451090-5602382,6.900,0.013,0.021,45965.3,6.008,0.031,0.034,53175.3,5.722,0.015,0.021,36527.5,AAA,111,111,000,666666,16.0,62,785502126,0,0,2451564.8146,0.8920,0.2860,1.1780
158.391807,-55.724548,0.06,0.06,0,10333403-5543283,6.596,0.011,0.020,60817.7,6.018,0.027,0.031,49171.1,5.785,0.017,0.023,33298.1,AAA,111,111,000,676755,11.0,241,784694349,0,0,2451564.7326,0.5780,0.2330,0.8110
164.303751,-54.402618,0.07,0.06,0,10571290-5424094,6.810,0.013,0.021,46604.7,6.015,0.013,0.020,47633.2,5.798,0.023,0.027,32901.8,AAA,111,111,000,666666,11.4,232,826391337,0,0,2451578.6823,0.7950,0.2170,1.0120
164.443201,-55.197445,0.06,0.06,90,10574636-5511508,6.904,0.013,0.021,42739.6,6.014,0.023,0.027,47677.1,5.709,0.017,0.023,35712.5,AAA,111,111,000,666666,21.4,350,826385699,0,0,2451578.6817,0.8900,0.3050,1.1950
162.967248,-55.948093,0.06,0.06,90,10515213-5556531,7.103,0.017,0.024,42289.2,6.022,0.029,0.033,60271.2,5.567,0.021,0.026,43613.4,AAA,111,111,000,665666,22.0,61,785981949,0,0,2451564.8604,1.0810,0.4550,1.5360
159.911500,-54.970940,0.06,0.06,90,10393876-5458153,7.056,0.009,0.019,41212.6,6.018,0.033,0.036,47501.8,5.664,0.021,0.026,37223.7,AAA,111,111,000,667756,15.2,105,785069451,0,0,2451564.7711,1.0380,0.3540,1.3920
161.356843,-58.064671,0.06,0.06,90,10452564-5803528,7.272,0.009,0.019,32631.0,6.022,0.031,0.034,52494.0,5.426,0.015,0.021,47975.6,AAA,111,111,000,666666,14.0,345,785482907,0,0,2451564.8131,1.2500,0.5960,1.8460
162.474834,-57.230267,0.06,0.06,90,10495396-5713489,7.039,0.007,0.018,46433.3,6.002,0.023,0.027,59307.6,5.488,0.011,0.018,48553.4,AAA,111,111,000,666666,19.6,170,785846530,0,0,2451564.8497,1.0370,0.5140,1.5510
167.952332,-59.153896,0.06,0.06,90,11114855-5909140,6.995,0.013,0.021,48353.7,6.017,0.027,0.031,74492.1,5.652,0.013,0.020,44732.2,AAA,111,111,000,666666,14.7,120,827714568,0,0,2451578.8828,0.9780,0.3650,1.3430
166.239859,-59.858906,0.06,0.06,90,11045756-5951320,6.073,0.009,0.019,98453.2,6.007,0.043,0.045,49671.8,5.923,0.019,0.024,30354.3,AAA,111,111,000,666666,14.9,247,826892587,0,0,2451578.7339,0.0660,0.0840,0.1500
166.652230,-59.507542,0.06,0.06,0,11063653-5930271,7.155,0.011,0.020,36343.8,6.010,0.039,0.042,49534.8,5.446,0.019,0.024,47099.9,AAA,111,111,000,665666,15.0,62,826999388,0,0,2451578.7434,1.1450,0.5640,1.7090
164.314842,-59.408844,0.06,0.06,0,10571556-5924318,7.165,0.009,0.019,33607.0,6.016,0.045,0.047,47589.4,5.289,0.019,0.024,52579.9,AAA,111,111,000,776766,12.1,258,826348059,0,0,2451578.6786,1.1490,0.7270,1.8760
182.352390,-38.729813,0.06,0.06,90,12092457-3843473,6.632,0.011,0.020,80284.2,6.013,0.037,0.040,60772.9,5.836,0.013,0.020,37759.0,AAA,111,111,000,666666,28.4,271,358531231,0,0,2451276.5805,0.6190,0.1770,0.7960
196.745623,-25.787033,0.06,0.06,90,13065894-2547133,6.895,0.011,0.020,67519.6,6.026,0.023,0.027,60049.6,5.775,0.017,0.023,47470.1,AAA,111,111,000,666666,77.2,22,72677382,0,0,2450963.5697,0.8690,0.2510,1.1200
194.568861,-31.280264,0.06,0.06,0,12581652-3116489,6.545,0.029,0.034,78420.6,6.010,0.027,0.031,65299.5,5.871,0.017,0.023,36561.2,AAA,111,111,000,666666,40.0,299,345521291,0,0,2451266.7758,0.5350,0.1390,0.6740
195.652760,-31.778362,0.06,0.06,0,13023666-3146421,6.579,0.015,0.023,76002.9,6.012,0.013,0.020,67469.9,5.908,0.013,0.020,35336.2,AAA,111,111,000,666666,25.8,78,345631262,0,0,2451266.8187,0.5670,0.1040,0.6710
197.913396,-26.551731,0.06,0.06,90,13113921-2633062,6.119,0.013,0.021,147853.0,6.018,0.037,0.040,64820.2,6.007,0.011,0.018,39684.4,AAA,111,111,d00,555566,27.6,114,72777703,0,0,2450963.6192,0.1010,0.0110,0.1120
181.579715,-24.214827,0.08,0.06,90,12061913-2412533,6.943,0.013,0.021,64599.6,6.019,0.069,0.071,58386.2,5.700,0.021,0.026,47470.1,AAA,111,111,000,665667,13.4,121,41250759,0,0,2450965.5175,0.9240,0.3190,1.2430
186.168320,-28.944614,0.07,0.06,90,12244039-2856406,6.520,0.015,0.023,69892.4,6.018,0.059,0.061,52687.8,5.875,0.019,0.024,36426.7,AAA,111,111,000,665666,32.1,285,1298529640,0,0,2450999.4485,0.5020,0.1430,0.6450
183.468299,-34.150700,0.06,0.06,90,12135239-3409025,6.740,0.007,0.018,72682.5,6.011,0.035,0.038,74904.9,5.849,0.031,0.034,38620.7,AAA,111,111,000,677777,29.8,222,346901025,0,0,2451274.7349,0.7290,0.1620,0.8910
194.007635,-34.457489,0.07,0.06,0,12560183-3427269,6.856,0.021,0.027,58888.4,6.025,0.045,0.047,64403.6,5.738,0.009,0.017,42778.0,AAA,111,111,000,666666,28.0,235,345459302,0,0,2451266.7514,0.8310,0.2870,1.1180
190.447186,-34.928257,0.06,0.06,0,12414732-3455417,6.829,0.015,0.023,50796.1,6.012,0.045,0.047,49443.6,5.673,0.023,0.027,36916.5,AAA,111,111,000,776756,22.0,250,871699744,0,0,2451619.6366,0.8170,0.3390,1.1560
218.351132,-0.219399,0.10,0.09,90,14332427-0013098,6.782,0.025,0.030,58834.2,6.024,0.023,0.027,56144.9,5.767,0.007,0.016,35044.5,AAA,111,111,000,676666,18.9,270,289556446,0,0,2451236.8554,0.7580,0.2570,1.0150
216.851619,-6.120362,0.07,0.06,90,14272438-0607133,5.977,0.009,0.019,123489.5,6.007,0.027,0.031,63257.2,5.921,0.019,0.024,32585.2,AAA,111,111,000,666666,58.1,348,310081106,0,0,2451251.7427,-0.0300,0.0860,0.0560
217.699142,-8.646269,0.06,0.06,90,14304779-0838465,6.616,0.013,0.021,73456.5,6.007,0.041,0.044,67781.3,5.769,0.015,0.021,40162.4,AAA,111,111,000,666666,25.6,47,310152660,0,0,2451251.7744,0.6090,0.2380,0.8470
219.445469,-3.370905,0.12,0.06,90,14374691-0322152,6.561,0.009,0.019,85709.7,6.028,0.023,0.027,59939.1,5.897,0.009,0.017,33313.5,AAA,111,111,000,666666,31.6,226,255601176,0,0,2451211.8671,0.5330,0.1310,0.6640
204.830193,-11.065369,0.12,0.06,0,13391924-1103553,6.585,0.009,0.019,89831.8,6.006,0.047,0.049,70227.9,5.874,0.015,0.021,35222.5,AAA,111,111,000,777766,17.7,52,300158956,0,0,2451232.8490,0.5790,0.1320,0.7110
208.923200,-13.740306,0.08,0.06,0,13554156-1344251,6.540,0.013,0.021,84417.0,6.026,0.043,0.045,62159.9,5.890,0.017,0.023,31291.0,AAA,111,111,000,556666,31.6,70,1250739360,0,0,2450905.8249,0.5140,0.1360,0.6500
211.241029,-6.874316,0.12,0.10,0,14045784-0652275,6.497,0.013,0.021,84845.7,6.008,0.027,0.031,65419.9,5.916,0.025,0.029,32735.6,AAA,111,111,000,666666,34.1,122,893800703,0,0,2451630.6869,0.4890,0.0920,0.5810
211.082339,-9.529365,0.10,0.06,0,14041976-0931457,6.561,0.011,0.020,82799.9,6.015,0.035,0.038,69648.2,5.859,0.015,0.021,35712.5,AAA,111,111,000,666666,68.7,339,307249863,0,0,2451246.7352,0.5460,0.1560,0.7020
201.899290,-18.032137,0.07,0.06,0,13273582-1801556,6.614,0.017,0.024,93719.5,6.009,0.027,0.031,72495.3,5.890,0.015,0.021,41249.6,AAA,111,111,000,666757,39.1,62,1272174331,0,0,2450937.7188,0.6050,0.1190,0.7240
200.374078,-19.489286,0.06,0.06,90,13212977-1929214,6.035,0.013,0.021,154322.8,6.014,0.037,0.040,62850.7,5.995,0.023,0.027,29404.9,AAA,111,111,000,666655,41.4,75,2578245,0,0,2450952.6815,0.0210,0.0190,0.0400
194.368997,-9.761253,0.06,0.06,0,12572855-0945405,6.283,0.013,0.021,103330.9,6.021,0.037,0.040,58278.7,5.972,0.023,0.027,29014.8,AAA,111,111,000,666677,30.4,107,1326772679,0,0,2451230.7599,0.2620,0.0490,0.3110
199.974095,-7.937664,0.08,0.06,90,13195378-0756155,6.845,0.007,0.018,59488.1,6.019,0.029,0.033,56404.0,5.736,0.017,0.023,36059.5,AAA,111,111,000,666666,81.4,13,287073673,0,0,2451229.7867,0.8260,0.2830,1.1090
317.949032,-2.601541,0.07,0.06,90,21114776-0236055,6.570,0.011,0.020,82116.4,6.008,0.043,0.045,49626.1,5.857,0.005,0.016,35778.3,AAA,111,111,000,666655,37.3,115,91516527,0,0,2451081.5472,0.5620,0.1510,0.7130
319.954114,-6.020992,0.07,0.06,90,21194898-0601155,6.709,0.015,0.023,82952.6,6.011,0.025,0.029,67532.1,5.855,0.019,0.024,42601.0,AAA,111,111,000,666666,41.1,149,1145962009,0,0,2451811.6078,0.6980,0.1560,0.8540
331.522202,-5.358106,0.07,0.06,0,22060532-0521291,6.326,0.011,0.020,102808.7,6.003,0.037,0.040,55298.1,5.884,0.009,0.017,37395.6,AAA,111,111,000,666666,17.4,212,1084631202,0,0,2451752.8134,0.3230,0.1190,0.4420
332.958660,-9.745290,0.06,0.06,0,22115007-0944430,6.624,0.019,0.026,78132.2,6.004,0.035,0.038,57188.7,5.851,0.015,0.021,35976.6,AAA,111,111,000,666656,68.2,20,126314722,0,0,2451104.5161,0.6200,0.1530,0.7730
324.884203,-9.887984,0.18,0.07,0,21393220-0953167,6.871,0.017,0.024,62234.3,6.026,0.031,0.034,54139.0,5.694,0.017,0.023,43034.8,AAA,111,111,000,665656,18.6,219,1331285817,0,0,2451086.5378,0.8450,0.3320,1.1770
324.997156,-9.249673,0.06,0.06,90,21395931-0914588,6.636,0.013,0.021,77273.4,6.014,0.035,0.038,52882.3,5.822,0.013,0.020,38249.0,AAA,111,111,000,666666,19.6,328,1331298825,0,0,2451086.5436,0.6220,0.1920,0.8140
359.044478,-39.052406,0.06,0.06,90,23561067-3903086,6.510,0.019,0.026,99639.2,6.007,0.021,0.026,70163.3,5.907,0.017,0.023,39230.2,AAA,111,111,000,677767,37.0,320,1107608763,0,0,2451774.7125,0.5030,0.1000,0.6030
359.373755,-28.038599,0.06,0.06,90,23572970-2802189,6.470,0.017,0.024,86982.1,6.002,0.031,0.034,55349.0,5.865,0.015,0.021,36763.8,AAA,111,111,000,666666,20.4,107,142136536,0,0,2451129.5236,0.4680,0.1370,0.6050
342.875501,-31.960951,0.06,0.06,90,22513012-3157394,6.662,0.015,0.023,99455.8,6.027,0.033,0.036,84744.2,5.919,0.015,0.021,41573.8,AAA,111,111,000,666666,26.2,191,61803498,0,0,2451053.7637,0.6350,0.1080,0.7430
341.385021,-25.236965,0.08,0.06,0,22453240-2514130,6.067,0.005,0.018,126075.3,6.013,0.039,0.042,56716.6,5.983,0.019,0.024,34136.6,AAA,111,111,000,666666,31.2,46,21077004,0,0,2451005.7914,0.0540,0.0300,0.0840
341.682044,-25.397381,0.07,0.06,0,22464369-2523505,6.553,0.007,0.018,83412.3,6.008,0.027,0.031,56978.4,5.860,0.009,0.017,38231.4,AAA,111,111,000,666644,15.7,326,21096024,0,0,2451005.8083,0.5450,0.1480,0.6930
342.004602,-28.520452,0.07,0.06,90,22480110-2831136,6.549,0.017,0.024,89707.8,6.004,0.025,0.029,63432.2,5.906,0.027,0.031,37933.2,AAA,111,111,000,666655,32.0,343,21124190,0,0,2451005.8227,0.5450,0.0980,0.6430
354.375719,-30.086433,0.08,0.06,0,23373017-3005111,6.760,0.013,0.021,64332.4,6.025,0.029,0.033,60104.9,5.901,0.005,0.016,34357.4,AAA,111,111,000,666666,29.7,79,675653213,0,0,2451400.8657,0.7350,0.1240,0.8590
343.793860,-23.969172,0.09,0.08,0,22551052-2358090,6.527,0.013,0.021,91544.0,6.017,0.027,0.031,69520.0,5.895,0.009,0.017,41060.1,AAA,111,111,000,666666,16.2,319,1005137352,0,0,2451749.8006,0.5100,0.1220,0.6320
336.499385,-14.951735,0.07,0.06,0,22255985-1457062,6.385,0.007,0.018,104335.0,6.007,0.017,0.023,61109.7,5.833,0.011,0.018,37863.4,AAA,111,111,000,665566,13.4,152,5505682,0,0,2450989.8226,0.3780,0.1740,0.5520
339.527763,-2.898578,0.11,0.08,0,22380666-0253548,6.547,0.011,0.020,103188.2,6.006,0.029,0.033,67843.8,5.898,0.025,0.029,40946.8,AAA,111,111,000,666666,53.8,218,96645255,0,0,2451085.5842,0.5410,0.1080,0.6490
78.914971,24.508003,0.07,0.06,90,05153959+2430288,6.925,0.019,0.026,86582.5,6.008,0.013,0.020,83312.5,5.750,0.015,0.021,61861.4,AAA,111,111,000,666655,26.9,192,140009628,0,0,2450787.7617,0.9170,0.2580,1.1750
82.363427,28.235445,0.06,0.06,0,05292722+2814076,6.811,0.023,0.029,83758.7,6.024,0.023,0.027,71500.7,5.773,0.007,0.016,54603.4,AAA,111,111,000,666666,17.2,241,1311640568,0,0,2450798.7230,0.7870,0.2510,1.0380
83.151122,28.498522,0.07,0.06,90,05323626+2829546,7.213,0.019,0.026,57840.2,6.011,0.025,0.029,67532.1,5.448,0.023,0.027,68741.7,AAA,111,111,000,666666,16.4,122,147843342,0,0,2450799.7289,1.2020,0.5630,1.7650
84.955881,24.621534,0.07,0.06,0,05394941+2437175,6.840,0.013,0.021,78782.5,6.018,0.013,0.020,69456.0,5.751,0.011,0.018,52002.0,AAA,111,111,000,665566,29.5,277,148170597,0,0,2450799.8107,0.8220,0.2670,1.0890
77.587323,26.100737,0.06,0.06,90,05102095+2606026,7.072,0.021,0.027,65861.2,6.009,0.015,0.021,72495.3,5.664,0.015,0.021,62491.4,AAA,111,111,000,666666,17.2,42,145038259,0,0,2450786.8104,1.0630,0.3450,1.4080
76.628986,28.787500,0.06,0.06,90,05063095+2847150,6.710,0.015,0.023,80062.7,6.004,0.037,0.040,59198.4,5.779,0.009,0.017,54302.5,AAA,111,111,000,666666,22.7,219,932350834,0,0,2451571.7326,0.7060,0.2250,0.9310
88.665538,33.666473,0.06,0.06,90,05543972+3339593,7.169,0.007,0.018,47296.6,6.025,0.021,0.026,56093.2,5.500,0.007,0.016,67829.7,AAA,111,111,000,676666,13.5,127,1028049688,0,0,2451627.6360,1.1440,0.5250,1.6690
87.276549,33.019218,0.06,0.06,90,05490637+3301091,6.578,0.027,0.032,84378.2,6.028,0.015,0.021,59939.1,5.873,0.011,0.018,39103.9,AAA,111,111,000,666666,13.7,228,461466774,0,0,2451139.8066,0.5500,0.1550,0.7050
83.184058,29.047682,0.07,0.06,0,05324417+2902516,7.204,0.019,0.026,58321.7,6.029,0.015,0.021,66421.7,5.542,0.015,0.021,63040.6,AAA,111,111,000,665566,11.8,106,147845597,0,0,2450799.7293,1.1750,0.4870,1.6620
84.319580,31.418131,0.06,0.06,90,05371669+3125052,7.023,0.009,0.019,64302.8,6.024,0.015,0.021,76614.3,5.689,0.005,0.016,55058.0,AAA,111,111,000,666656,16.7,130,165640714,0,0,2450847.6404,0.9990,0.3350,1.3340
75.975856,29.817867,0.06,0.06,90,05035420+2949043,7.033,0.029,0.034,57442.1,6.012,0.043,0.045,65179.3,5.611,0.011,0.018,59158.9,AAA,111,111,000,666666,16.2,272,837281879,0,0,2451508.8354,1.0210,0.4010,1.4220
78.529857,34.795040,0.06,0.06,90,05140716+3447421,7.324,0.021,0.027,42445.3,6.019,0.041,0.044,56404.0,5.274,0.019,0.024,77950.7,AAA,111,111,000,666666,20.4,301,936899739,0,0,2451509.8522,1.3050,0.7450,2.0500
78.297406,33.848782,0.08,0.06,0,05131137+3350556,7.184,0.019,0.026,46647.7,6.007,0.045,0.047,55094.7,5.490,0.013,0.020,63888.1,AAA,111,111,000,776766,17.7,54,936857475,0,0,2451509.8432,1.1770,0.5170,1.6940
77.480856,33.198776,0.06,0.06,90,05095540+3311555,6.595,0.027,0.032,80247.2,6.016,0.027,0.031,56560.1,5.903,0.013,0.020,42191.0,AAA,111,111,000,666656,11.3,269,936721327,0,0,2451509.8129,0.5790,0.1130,0.6920
81.374888,32.885643,0.06,0.06,0,05252997+3253083,7.086,0.011,0.020,51054.0,6.006,0.015,0.021,65540.5,5.584,0.009,0.017,46006.6,AAA,111,111,000,666666,16.6,306,355106759,0,0,2451094.9201,1.0800,0.4220,1.5020
79.256184,29.776670,0.07,0.06,0,05170148+2946360,6.859,0.025,0.030,92008.9,6.022,0.029,0.033,82245.1,5.753,0.017,0.023,61690.7,AAA,111,111,000,666767,22.8,31,140072597,0,0,2450787.7753,0.8370,0.2690,1.1060
78.327244,30.034399,0.06,0.06,90,05131853+3002038,6.994,0.017,0.024,55568.7,6.027,0.055,0.057,52252.8,5.744,0.007,0.016,48845.0,AAA,111,111,000,666666,14.0,159,936872567,0,0,2451509.8466,0.9670,0.2830,1.2500
52.936921,4.695488,0.07,0.07,0,03314486+0441437,6.934,0.013,0.021,44548.2,6.020,0.015,0.021,50805.4,5.651,0.011,0.018,38996.0,AAA,111,111,000,666666,26.6,237,778413012,0,0,2451562.5431,0.9140,0.3690,1.2830
258.522990,-32.448463,0.06,0.06,90,17140551-3226544,7.188,0.015,0.023,23293.2,6.013,0.025,0.029,28425.6,5.474,0.013,0.020,33637.2,AAA,111,111,000,666666,12.9,251,185103520,0,0,2451035.4693,1.1750,0.5390,1.7140
268.517349,-32.892986,0.06,0.06,90,17540416-3253347,7.072,0.009,0.019,8582.8,6.005,0.019,0.024,9482.2,5.616,0.013,0.020,12883.1,AAA,111,111,000,776766,11.5,119,1300217248,0,0,2451040.5004,1.0670,0.3890,1.4560
268.447820,-33.424873,0.06,0.06,90,17534747-3325295,7.110,0.015,0.023,8287.6,6.010,0.029,0.033,9438.6,5.539,0.015,0.021,13829.9,AAA,111,111,000,666666,10.5,62,1300226070,0,0,2451040.5008,1.1000,0.4710,1.5710
266.889625,-32.389282,0.06,0.06,90,17473351-3223214,7.808,0.013,0.021,6155.0,6.005,0.015,0.021,12075.6,5.091,0.011,0.018,15311.6,AAA,111,111,000,777766,13.8,230,164684834,0,0,2451039.6238,1.8030,0.9140,2.7170
262.902387,-31.546612,0.06,0.06,90,17313657-3132478,6.795,0.017,0.024,22101.9,6.007,0.045,0.047,9143.5,5.780,0.011,0.018,8698.0,AAA,111,111,000,666666,12.6,137,188118115,0,0,2451035.6390,0.7880,0.2270,1.0150
264.528798,-30.406281,0.06,0.06,90,17380691-3024226,7.946,0.017,0.024,5610.9,6.001,0.017,0.023,12120.2,4.961,0.015,0.021,16107.2,AAA,111,111,000,666656,10.2,220,162938188,0,0,2451039.5253,1.9450,1.0400,2.9850
264.065933,-32.773560,0.06,0.06,90,17361582-3246248,7.307,0.013,0.021,9112.3,6.023,0.025,0.029,10344.5,5.482,0.013,0.020,10681.2,AAA,111,111,000,666666,13.3,116,162678261,0,0,2451039.5127,1.2840,0.5410,1.8250
263.161474,-32.669937,0.06,0.06,90,17323875-3240117,7.319,0.015,0.023,17371.2,6.007,0.013,0.020,11248.9,5.465,0.013,0.020,11231.0,AAA,111,111,000,666666,10.3,316,161970119,0,0,2451039.4714,1.3120,0.5420,1.8540
263.931372,-33.365982,0.06,0.06,90,17354352-3321575,7.379,0.011,0.020,9137.6,6.017,0.023,0.027,10767.4,5.467,0.019,0.024,10107.0,AAA,111,111,000,666666,13.8,120,162584935,0,0,2451039.5010,1.3620,0.5500,1.9120
88.597109,35.651833,0.06,0.06,0,05542330+3539065,6.596,0.027,0.032,80173.3,6.010,0.025,0.029,56873.5,5.821,0.009,0.017,50468.5,AAA,111,111,000,666666,31.9,210,1028042075,0,0,2451627.6345,0.5860,0.1890,0.7750
88.049507,36.415932,0.07,0.07,90,05521188+3624573,7.094,0.011,0.020,50679.2,6.015,0.039,0.042,54690.3,5.591,0.009,0.017,64568.4,AAA,111,111,000,666666,33.7,293,1205609197,0,0,2451846.9740,1.0790,0.4240,1.5030
84.217437,37.154854,0.06,0.06,0,05365218+3709174,6.811,0.009,0.019,63537.5,6.026,0.013,0.020,54139.0,5.840,0.007,0.016,37620.1,AAA,111,111,000,666656,13.8,127,459588514,0,0,2451142.7957,0.7850,0.1860,0.9710
84.213365,39.496120,0.06,0.06,0,05365120+3929460,6.720,0.021,0.027,69092.4,6.027,0.007,0.016,54089.1,5.871,0.021,0.026,36561.2,AAA,111,111,000,665556,14.9,132,459579308,0,0,2451142.7940,0.6930,0.1560,0.8490
84.565952,38.606602,0.06,0.06,90,05381582+3836237,6.509,0.011,0.020,83913.2,6.005,0.015,0.021,59143.9,5.871,0.017,0.023,37846.0,AAA,111,111,000,666666,18.5,120,459625648,0,0,2451142.8087,0.5040,0.1340,0.6380
73.685101,27.040001,0.06,0.06,0,04544442+2702240,7.080,0.009,0.019,53141.0,6.015,0.009,0.017,60661.1,5.683,0.011,0.018,59322.6,AAA,111,111,000,666666,20.3,221,139066881,0,0,2450785.8210,1.0650,0.3320,1.3970
72.850759,25.334162,0.29,0.06,90,04512418+2520029,7.142,0.015,0.023,51955.3,6.024,0.011,0.018,60160.3,5.529,0.015,0.021,68362.8,AAA,111,111,000,666666,14.6,180,138971911,0,0,2450785.7860,1.1180,0.4950,1.6130
70.565754,29.887241,0.06,0.06,0,04421578+2953140,7.025,0.013,0.021,59900.4,6.003,0.015,0.021,65721.9,5.601,0.011,0.018,45291.8,AAA,111,111,000,665666,35.4,162,366164665,0,0,2451100.8831,1.0220,0.4020,1.4240
71.680016,29.884426,0.07,0.07,90,04464320+2953039,6.896,0.011,0.020,62955.0,6.003,0.013,0.020,57241.4,5.721,0.021,0.026,55337.6,AAA,111,111,000,665666,13.9,312,138834478,0,0,2450785.7344,0.8930,0.2820,1.1750
74.872068,32.036453,0.06,0.06,90,04592929+3202112,7.095,0.013,0.021,56160.4,6.013,0.017,0.023,65119.3,5.589,9.998,9.998,60369.8,AAF,111,111,000,664516,11.7,25,159375482,0,0,2450843.6960,1.0820,0.4240,1.5060
70.648778,25.454229,0.06,0.06,90,04423570+2527152,7.295,0.011,0.020,46712.2,6.021,0.015,0.021,64641.3,5.503,0.011,0.018,49570.1,AAA,111,111,000,666655,16.7,65,440451800,0,0,2451100.8799,1.2740,0.5180,1.7920
89.871243,22.580763,0.06,0.06,0,05592909+2234507,6.905,0.017,0.024,58268.0,6.009,0.021,0.026,56925.9,5.738,0.009,0.017,54477.9,AAA,111,111,000,777766,26.1,247,1207165938,0,0,2451866.0280,0.8960,0.2710,1.1670
89.615636,23.138435,0.06,0.06,0,05582775+2308183,7.077,0.015,0.023,48043.0,6.021,0.011,0.018,52542.4,5.690,0.009,0.017,49593.0,AAA,111,111,000,665655,23.6,139,458827406,0,0,2451136.7972,1.0560,0.3310,1.3870
279.708091,10.730169,0.07,0.06,0,18384994+1043486,6.973,0.011,0.020,49343.5,6.004,0.021,0.026,49809.2,5.577,0.015,0.021,47931.4,AAA,111,111,000,776766,21.9,146,1227636659,0,0,2451382.7125,0.9690,0.4270,1.3960
280.046691,11.337143,0.06,0.06,90,18401120+1120137,6.938,0.015,0.023,44384.4,6.020,0.037,0.040,50805.4,5.727,0.017,0.023,35125.3,AAA,111,111,000,666655,24.0,212,943492002,0,0,2451628.9121,0.9180,0.2930,1.2110
277.187213,10.867269,0.07,0.06,0,18284493+1052021,6.924,0.021,0.027,57257.2,6.007,0.043,0.045,57030.9,5.559,0.015,0.021,52218.0,AAA,111,111,000,666666,16.4,215,1227177697,0,0,2451382.6564,0.9170,0.4480,1.3650
279.734075,8.306757,0.08,0.06,0,18385617+0818243,6.921,0.033,0.037,51764.3,6.023,0.033,0.036,48945.2,5.698,0.015,0.021,42876.6,AAA,111,111,000,777766,11.2,231,1227656291,0,0,2451382.7143,0.8980,0.3250,1.2230
279.336115,10.612006,0.06,0.06,0,18372066+1036432,6.674,0.011,0.020,67271.3,6.001,0.013,0.020,51702.3,5.855,0.011,0.018,38407.8,AAA,111,111,000,666666,13.8,216,1227538234,0,0,2451382.7029,0.6730,0.1460,0.8190
272.572183,10.466278,0.07,0.06,0,18101732+1027586,6.975,0.015,0.023,50983.5,6.020,0.021,0.026,56352.1,5.702,0.013,0.020,47382.7,AAA,111,111,000,666666,21.2,76,507722874,0,0,2451380.6285,0.9550,0.3180,1.2730
272.219443,10.936442,0.06,0.06,90,18085266+1056111,6.823,0.019,0.026,60705.8,6.008,0.017,0.023,58980.7,5.781,0.025,0.029,44057.5,AAA,111,111,000,777766,13.4,332,507652294,0,0,2451380.6164,0.8150,0.2270,1.0420
275.618631,9.182397,0.07,0.06,0,18222847+0910566,6.935,0.011,0.020,58671.9,6.012,0.037,0.040,58763.8,5.723,0.013,0.020,44897.3,AAA,111,111,000,666666,11.4,106,1226907166,0,0,2451382.6171,0.9230,0.2890,1.2120
275.474324,8.631014,0.06,0.06,0,18215383+0837516,6.728,0.017,0.024,70995.4,6.010,0.023,0.027,60941.1,5.870,0.019,0.024,40590.1,AAA,111,111,000,666656,17.3,25,1226868274,0,0,2451382.6125,0.7180,0.1400,0.8580
281.132629,0.221188,0.07,0.06,0,18443183+0013162,7.455,0.019,0.026,29541.3,6.011,0.019,0.024,53028.6,5.256,0.015,0.021,62232.9,AAA,111,111,000,666666,12.9,127,623740214,0,0,2451398.6099,1.4440,0.7550,2.1990
279.682204,5.003266,0.07,0.06,0,18384372+0500117,7.060,0.015,0.023,39667.1,6.010,0.009,0.017,47853.1,5.632,0.013,0.020,42522.6,AAA,111,111,000,666666,11.7,295,550287884,0,0,2451397.6331,1.0500,0.3780,1.4280
278.202929,4.688302,0.11,0.06,0,18324870+0441178,7.135,0.007,0.018,48801.1,6.026,0.031,0.034,58011.0,5.532,0.015,0.021,55414.1,AAA,111,111,000,666757,11.3,139,1059130613,0,0,2451702.6898,1.1090,0.4940,1.6030
274.596016,-51.834984,0.06,0.06,90,18182304-5150059,6.794,0.009,0.019,62349.1,6.020,0.019,0.024,52590.8,5.786,0.009,0.017,40928.0,AAA,111,111,000,666666,15.4,303,1046390360,0,0,2451701.6275,0.7740,0.2340,1.0080
274.499122,-50.013794,0.06,0.06,90,18175978-5000496,6.904,0.029,0.034,56341.7,6.018,0.037,0.040,52687.8,5.653,0.017,0.023,46261.5,AAA,111,111,000,666666,12.0,311,1046398732,0,0,2451701.6289,0.8860,0.3650,1.2510
279.619989,-60.224586,0.09,0.07,0,18382879-6013285,6.781,0.017,0.024,69989.0,6.009,0.015,0.021,63140.8,5.833,0.023,0.027,41997.2,AAA,111,111,000,666666,23.8,208,989724384,0,0,2451693.6508,0.7720,0.1760,0.9480
