ra,dec,err_maj,err_min,err_ang,designation,j_m,j_cmsig,j_msigcom,j_snr,h_m,h_cmsig,h_msigcom,h_snr,k_m,k_cmsig,k_msigcom,k_snr,ph_qual,rd_flg,bl_flg,cc_flg,ndet,prox,pxpa,pxcntr,gal_contam,mp_flg,jdate,j_h,h_k,j_k
288.625859,-32.426281,0.06,0.06,90,19143020-3225346,6.425,0.009,0.019,87585.1,6.018,0.013,0.020,52687.8,5.856,0.015,0.021,38372.5,AAA,111,111,000,666666,28.8,173,15489668,0,0,2451019.6962,0.4070,0.1620,0.5690
288.954025,-31.877666,0.06,0.06,90,19154896-3152395,6.889,0.009,0.019,55186.1,6.005,0.013,0.020,51512.2,5.607,0.011,0.018,46625.1,AAA,111,111,000,556666,21.4,240,15534401,0,0,2451019.7055,0.8840,0.3980,1.2820
300.600012,-35.274673,0.06,0.06,90,20022400-3516288,6.701,0.007,0.018,65619.1,6.002,0.019,0.024,59307.6,5.862,0.009,0.017,40890.3,AAA,111,111,000,666656,23.2,294,579824316,0,0,2451430.6754,0.6990,0.1400,0.8390
292.164783,-32.306614,0.06,0.06,90,19283954-3218238,6.769,0.007,0.018,68364.4,6.016,0.027,0.031,50992.9,5.828,0.015,0.021,36746.8,AAA,111,111,000,666666,16.3,255,44721070,0,0,2451020.6093,0.7530,0.1880,0.9410
295.014073,-31.608826,0.06,0.06,90,19400337-3136317,6.619,0.013,0.021,90121.8,6.008,0.021,0.026,61053.4,5.843,0.011,0.018,40199.4,AAA,111,111,000,677777,16.7,56,45138557,0,0,2451020.7238,0.6110,0.1650,0.7760
300.845736,-40.851185,0.06,0.06,90,20032297-4051042,6.789,0.023,0.029,69475.2,6.007,0.033,0.036,57030.9,5.791,0.019,0.024,43653.6,AAA,111,111,000,666666,14.6,193,1050754243,0,0,2451754.5956,0.7820,0.2160,0.9980
301.228092,-39.435703,0.06,0.06,90,20045474-3926085,6.789,0.019,0.026,50913.2,6.026,0.021,0.026,48810.1,5.760,0.019,0.024,40496.7,AAA,111,111,000,666666,13.9,128,501989477,0,0,2451363.6571,0.7630,0.2660,1.0290
299.932536,-41.774689,0.07,0.06,90,19594380-4146288,6.968,0.041,0.044,60986.0,6.014,0.011,0.018,60717.0,5.721,0.009,0.017,41977.8,AAA,111,111,000,776766,25.4,249,1319816215,0,0,2451055.6245,0.9540,0.2930,1.2470
293.300428,-46.089314,0.06,0.06,90,19331210-4605215,6.894,0.015,0.023,60929.8,6.003,0.027,0.031,57241.4,5.670,0.019,0.024,45542.8,AAA,111,111,000,666666,13.6,66,1096522754,0,0,2451766.5323,0.8910,0.3330,1.2240
86.112936,46.289452,0.06,0.06,90,05442710+4617220,6.974,0.015,0.023,54680.2,6.022,0.029,0.033,56248.4,5.688,0.007,0.016,46368.2,AAA,111,111,000,666666,14.5,250,905632026,0,0,2451466.8972,0.9520,0.3340,1.2860
82.943426,44.717319,0.06,0.06,90,05314642+4443023,7.012,0.031,0.035,47602.5,6.017,0.031,0.034,52736.3,5.650,0.031,0.034,43293.2,AAA,111,111,000,566666,11.7,310,903964156,0,0,2451464.9971,0.9950,0.3670,1.3620
85.142312,45.966316,0.06,0.06,90,05403415+4557587,6.602,0.019,0.026,74409.8,6.006,0.045,0.047,53273.3,5.784,0.013,0.020,41003.4,AAA,111,111,000,556666,24.4,104,798829990,0,0,2451466.0043,0.5960,0.2220,0.8180
70.233168,51.482880,0.06,0.06,90,04405596+5128583,7.412,0.011,0.020,39140.8,6.009,0.031,0.034,56925.9,5.321,0.017,0.023,82798.0,AAA,111,111,000,776766,20.5,220,931295481,0,0,2451545.6415,1.4030,0.6880,2.0910
80.029475,48.976978,0.06,0.06,90,05200707+4858371,6.795,0.013,0.021,66746.7,6.019,0.017,0.023,60438.0,5.836,0.013,0.020,51525.2,AAA,111,111,000,666666,14.3,308,931501230,0,0,2451545.6893,0.7760,0.1830,0.9590
76.937623,49.762608,0.06,0.06,90,05074502+4945453,6.978,0.015,0.023,58375.4,6.002,0.037,0.040,57294.1,5.642,0.011,0.018,57493.7,AAA,111,111,000,666666,27.3,11,928240629,0,0,2451552.8270,0.9760,0.3600,1.3360
74.724203,48.467705,0.06,0.06,90,04585380+4828037,6.992,0.013,0.021,57627.5,6.007,0.027,0.031,61109.7,5.724,0.007,0.016,51501.5,AAA,111,111,000,556666,22.3,160,840123261,0,0,2451510.9049,0.9850,0.2830,1.2680
79.762169,38.894386,0.06,0.06,90,05190292+3853397,6.550,0.017,0.024,80803.5,6.024,0.029,0.033,64462.9,5.849,0.005,0.016,45900.8,AAA,111,111,000,666656,10.3,166,880499540,0,0,2451539.8682,0.5260,0.1750,0.7010
77.784393,39.440052,0.06,0.06,0,05110825+3926241,7.044,0.013,0.021,41670.6,6.020,0.011,0.018,47414.4,5.617,0.021,0.026,47821.2,AAA,111,111,000,666656,21.3,119,386960062,0,0,2451113.9549,1.0240,0.4030,1.4270
76.657257,39.902828,0.06,0.06,0,05063774+3954101,6.673,0.007,0.018,77309.0,6.002,0.011,0.018,61391.8,5.849,0.009,0.017,38620.7,AAA,111,111,000,566666,19.8,142,352080820,0,0,2451093.9834,0.6710,0.1530,0.8240
76.067462,45.779362,0.06,0.06,90,05041619+4546457,6.086,0.017,0.024,128241.9,6.020,0.029,0.033,60382.3,5.983,0.013,0.020,37863.4,AAA,111,111,000,677777,25.1,169,802060458,0,0,2451490.8748,0.0660,0.0370,0.1030
352.984015,16.821615,0.08,0.06,90,23315616+1649178,6.848,0.013,0.021,61408.7,6.023,0.007,0.016,64522.3,5.742,0.011,0.018,34643.4,AAA,111,111,0d0,666666,32.6,52,1281609289,0,0,2450720.8118,0.8250,0.2810,1.1060
351.620826,17.509651,0.11,0.08,0,23262899+1730347,6.552,0.019,0.026,80654.8,6.027,0.009,0.017,62102.6,5.912,0.011,0.018,29622.4,AAA,111,111,000,666666,37.7,169,1281505093,0,0,2450720.7621,0.5250,0.1150,0.6400
353.030872,20.523722,0.07,0.06,90,23320740+2031253,6.734,0.009,0.019,73085.3,6.004,0.007,0.016,61278.8,5.813,0.009,0.017,35993.2,AAA,111,111,000,666666,53.0,291,89913669,0,0,2450737.7030,0.7300,0.1910,0.9210
342.325130,12.603297,0.07,0.07,90,22491803+1236118,6.657,0.019,0.026,81213.8,6.024,0.011,0.018,64462.9,5.907,0.031,0.034,39230.2,AAA,111,111,000,664566,54.3,281,340030030,0,0,2451079.8073,0.6330,0.1170,0.7500
290.531579,82.911484,0.17,0.06,0,19220757+8254413,6.717,0.013,0.021,64659.2,6.002,0.023,0.027,57294.1,5.862,0.017,0.023,29965.4,AAA,111,111,000,665666,23.8,62,693900729,0,0,2451340.8294,0.7150,0.1400,0.8550
