ra,dec,err_maj,err_min,err_ang,designation,j_m,j_cmsig,j_msigcom,j_snr,h_m,h_cmsig,h_msigcom,h_snr,k_m,k_cmsig,k_msigcom,k_snr,ph_qual,rd_flg,bl_flg,cc_flg,ndet,prox,gal_contam,mp_flg,j_h,h_k,j_k
166.571578,-58.617371,0.13,0.13,0,11061717-5837025,5.022,0.033,0.037,259197.0,4.147,0.075,0.076,275492.6,3.517,0.284,0.284,278368.4,EED,113,111,000,161606,27.5,0,0,0.8750,0.6300,1.5050
187.337636,-38.263947,0.16,0.16,90,12292103-3815502,5.081,0.033,0.037,334988.6,4.052,0.204,0.204,410308.0,3.504,0.262,0.262,334826.6,ECD,133,111,00d,160606,45.7,0,0,1.0290,0.5480,1.5770
200.761059,-27.614546,0.16,0.16,90,13230265-2736523,5.009,0.033,0.037,345804.0,4.121,0.234,0.234,385043.7,3.931,0.274,0.274,218283.0,EDD,133,111,000,160606,45.5,0,0,0.8880,0.1900,1.0780
195.700703,-26.640026,0.13,0.13,90,13024816-2638240,5.007,0.033,0.037,371218.8,4.191,0.075,0.076,314419.9,3.944,0.252,0.252,247639.6,EED,113,111,0dd,161606,46.3,0,0,0.8160,0.2470,1.0630
196.460541,-31.030678,0.11,0.11,0,13055052-3101504,5.114,0.021,0.027,336379.9,4.167,0.182,0.182,382041.0,3.896,0.272,0.272,250046.1,ACD,133,111,000,360606,42.1,0,0,0.9470,0.2710,1.2180
186.568392,-27.042929,0.29,0.29,90,12261641-2702345,5.165,0.244,0.244,260873.5,4.102,0.198,0.198,329693.2,3.843,0.214,0.214,245030.4,DCC,333,111,000,060606,36.0,0,0,1.0630,0.2590,1.3220
189.983062,-26.671391,0.29,0.29,90,12395593-2640170,4.976,0.266,0.266,321388.2,4.024,0.216,0.216,392925.3,3.623,0.218,0.218,270532.8,DCD,333,111,000,060606,38.5,0,0,0.9520,0.4010,1.3530
193.434535,-27.039394,0.11,0.11,0,12534428-2702218,5.171,0.029,0.034,330392.4,4.069,0.168,0.168,376972.8,3.785,0.204,0.204,241223.7,ACC,133,111,00d,350606,54.2,0,0,1.1020,0.2840,1.3860
192.986638,-35.082348,0.16,0.16,90,12515679-3504564,4.733,0.033,0.037,402003.7,4.159,0.244,0.244,335204.6,4.086,0.270,0.270,209903.6,EDD,133,111,00d,160606,38.9,0,0,0.5740,0.0730,0.6470
188.430212,-33.269695,0.14,0.12,0,12334325-3316109,5.025,0.005,0.018,340745.4,4.192,0.230,0.230,348425.5,3.946,0.258,0.258,222853.8,EDD,133,111,d00,260606,32.4,0,0,0.8330,0.2460,1.0790
215.509457,-8.091300,0.16,0.16,90,14220226-0805286,4.815,0.033,0.037,372760.6,4.138,0.222,0.222,308113.0,4.017,0.232,0.232,194813.9,EDD,133,111,000,160606,33.6,0,0,0.6770,0.1210,0.7980
204.445689,-3.236059,0.19,0.17,90,13374696-0314098,4.615,0.033,0.037,448156.8,4.157,0.204,0.204,347624.2,3.930,0.232,0.232,183831.5,ECD,133,111,000,170606,90.2,0,0,0.4580,0.2270,0.6850
207.635449,-7.598602,0.29,0.29,0,13503250-0735549,4.963,0.220,0.220,325259.5,4.077,0.188,0.188,374205.4,3.914,0.270,0.270,221727.7,DCD,333,111,000,060605,28.7,0,0,0.8860,0.1630,1.0490
