ra,dec,h_m,prox
12.176066,-2.857385,12.002,109.0
143.118769,57.767448,12.002,84.9
249.454695,61.009182,12.002,80.9
39.440459,-28.278208,12.002,76.8
192.805282,5.829480,12.002,94.8
243.041984,-3.671634,12.002,78.4
19.391696,19.787626,12.002,89.0
13.877870,-15.192308,12.002,85.9
227.705697,24.264854,12.002,85.9
31.953772,-3.956667,12.002,86.8
358.392629,2.188095,12.002,84.9
66.857479,-3.054690,12.002,80.2
31.830278,-8.809789,12.002,93.5
68.132545,-20.718954,12.002,86.8
79.671938,-41.071812,12.002,87.4
189.814654,11.127800,12.002,76.7
154.184602,49.491047,12.002,89.5
6.803669,-39.349442,12.002,78.3
327.654172,-2.586068,12.002,94.1
27.963439,9.357700,12.002,105.1
215.099863,20.844547,12.002,79.1
16.963556,-18.265463,12.002,82.5
20.663096,-12.522203,12.002,91.6
6.572763,26.336567,12.002,80.7
327.860548,-20.722092,12.002,77.1
140.496302,0.760991,12.002,91.0
338.872689,-48.544437,12.002,107.3
157.852510,81.074860,12.002,79.9
31.870373,-22.167252,12.002,104.3
53.089188,5.797172,12.002,99.3
91.889033,-40.872478,12.002,77.1
14.377668,-1.878934,12.002,77.8
356.182034,-28.610117,12.002,75.6
154.680924,28.578257,12.002,87.2
148.673558,43.054699,12.002,88.2
202.731311,53.499866,12.002,110.9
359.171030,-29.782806,12.002,81.5
18.614154,9.463699,12.002,99.8
358.660994,-31.450481,12.002,75.4
138.123012,32.896648,12.002,100.4
21.111372,-16.872211,12.002,84.8
49.828620,-8.034222,12.002,91.5
170.824315,58.649330,12.002,78.2
162.052786,66.842949,12.002,85.0
352.482019,-5.168593,12.002,81.0
32.708117,-2.181846,12.002,107.8
2.488449,-54.806755,12.002,80.8
58.808400,14.900256,12.002,81.6
178.649413,68.817268,12.002,80.0
157.240809,-2.133958,12.002,88.0
172.724787,-19.308577,12.002,101.4
162.096569,11.610450,12.002,85.4
191.784983,42.990368,12.002,106.5
54.587318,-21.296997,12.002,79.0
179.597411,-9.476975,12.002,84.6
178.819864,17.987661,12.002,81.0
358.975252,-54.008698,12.002,94.2
45.108688,-24.660500,12.002,105.3
340.339463,-4.801306,12.002,75.8
44.746476,-24.256098,12.002,77.0
164.846035,65.228256,12.002,77.2
5.951091,-17.106644,12.002,85.5
352.341649,8.170934,12.002,79.1
34.695295,-4.672051,12.002,102.4
177.936211,7.193997,12.002,79.8
202.745023,15.518816,12.002,86.4
183.432751,5.640314,12.002,79.8
225.234736,38.715687,12.002,92.3
37.746965,-14.167575,12.002,122.5
355.234524,-53.540943,12.002,93.8
183.783065,39.874802,12.002,77.1
210.750505,12.774398,12.002,77.4
201.391507,20.779768,12.002,90.1
24.844198,-50.912712,12.002,121.9
31.553405,-26.260530,12.002,82.9
144.803668,41.856171,12.002,93.8
205.146786,27.813934,12.002,75.4
166.396988,-20.886095,12.002,76.1
124.700972,59.456509,12.002,85.9
191.717877,9.419072,12.002,76.7
25.842477,-8.860116,12.002,146.3
38.674840,17.177744,12.002,87.0
160.054881,3.867077,12.002,93.7
126.036944,52.632385,12.002,83.7
149.676575,32.853653,12.003,82.5
197.327494,47.275169,12.003,108.8
3.756511,21.058880,12.003,76.5
219.863070,44.669365,12.003,79.2
45.350308,-0.914869,12.003,155.0
354.620076,-8.289160,12.003,75.3
38.188628,12.156318,12.003,77.5
178.010694,39.290241,12.003,92.6
41.979694,-12.698855,12.003,75.9
356.607831,25.449661,12.003,78.2
134.503117,28.260872,12.003,95.6
171.498653,55.008427,12.003,78.5
184.611573,64.350403,12.003,90.5
217.957127,56.558762,12.003,80.0
36.718968,-28.590088,12.003,96.1
213.024380,33.368305,12.003,100.0
37.194885,-51.790585,12.003,86.7
147.853138,52.331783,12.003,84.6
147.940488,35.233250,12.003,94.2
153.415418,27.582935,12.003,76.6
223.487610,43.180092,12.003,88.3
156.745578,61.868290,12.003,94.4
123.654943,47.092857,12.003,82.7
42.708376,-8.807182,12.003,89.0
60.348341,-25.848593,12.003,76.7
233.583164,6.553681,12.003,91.0
144.458056,20.332170,12.003,98.2
154.087596,27.229723,12.003,84.2
