ra,dec,h_m,prox
212.409489,2.027144,10.001,86.7
138.288849,48.366337,10.001,82.5
16.114997,11.006218,10.001,96.5
184.756504,38.255554,10.001,75.2
225.325225,0.440567,10.001,86.5
209.580301,-19.239580,10.001,98.4
358.949882,9.125415,10.001,76.5
33.559696,-18.553497,10.001,78.9
5.451713,-26.507849,10.001,155.2
205.580841,13.006863,10.001,91.6
238.293380,22.541859,10.001,96.2
134.922794,28.460640,10.001,76.6
161.191826,51.057648,10.001,94.8
10.136165,10.207786,10.001,85.9
356.738859,-55.280079,10.001,84.0
16.420957,-21.755363,10.001,115.4
190.594905,45.480129,10.001,100.3
209.772465,14.704586,10.001,94.0
174.867042,31.265280,10.001,104.6
191.453178,20.763771,10.001,93.5
178.883067,27.512823,10.001,77.8
212.369664,37.981327,10.001,76.7
320.572952,-23.830179,10.001,95.9
175.484439,4.881473,10.001,85.4
193.656273,23.694378,10.002,86.4
40.425632,-49.542637,10.002,93.1
59.285667,-29.191029,10.002,79.1
221.148787,36.536297,10.002,89.6
35.783707,-50.944370,10.002,81.8
221.428953,37.292389,10.002,85.8
139.375628,37.353733,10.002,81.1
71.185853,-20.669018,10.002,90.2
33.076730,-35.683456,10.002,91.3
353.638157,-37.557060,10.002,80.7
339.375544,-53.287613,10.002,75.5
146.726652,61.442009,10.002,89.5
156.869781,76.412666,10.002,83.7
176.148318,78.578773,10.002,75.5
201.895570,23.589571,10.002,93.6
146.638517,4.450076,10.002,77.0
50.643997,0.267667,10.002,86.0
147.317332,7.927944,10.002,84.8
2.000853,-21.871223,10.002,76.5
214.853361,-0.184794,10.002,78.6
223.063996,10.492701,10.002,78.6
64.130152,-10.016666,10.002,78.8
169.218306,35.401199,10.002,88.6
35.242092,11.319323,10.002,88.1
45.937838,-8.777309,10.002,77.4
165.156305,5.580276,10.002,81.7
142.156184,27.275213,10.002,95.9
12.353948,-3.343852,10.002,82.4
135.081563,68.965813,10.002,79.1
148.920013,-1.069724,10.003,85.7
187.644789,-9.093368,10.003,84.0
202.773063,-18.771235,10.003,91.9
38.314960,-14.609348,10.003,91.7
216.880355,-2.303679,10.003,80.6
180.917330,23.196186,10.003,120.6
135.895358,40.395119,10.003,82.9
10.757900,-60.285873,10.003,86.3
189.931663,62.347801,10.003,99.7
229.371389,75.191177,10.003,83.7
350.536301,-9.743651,10.003,91.0
232.950277,22.944429,10.003,101.0
153.402407,45.392933,10.003,90.9
316.463370,-35.739681,10.003,80.9
231.024991,34.569798,10.003,86.1
358.334003,6.553341,10.003,87.1
7.960785,-7.267228,10.003,113.5
130.320994,62.307686,10.003,80.0
168.112133,10.775750,10.003,92.3
172.074284,-3.227243,10.003,93.6
16.573148,-37.445221,10.003,123.9
17.134988,-39.906578,10.003,79.5
171.814312,34.978115,10.003,103.4
341.516040,16.229057,10.003,78.4
168.250087,32.535999,10.003,98.5
178.676159,-1.295703,10.004,89.9
245.170949,45.159515,10.004,84.8
164.031426,19.018938,10.004,80.2
170.332018,-14.443077,10.004,75.2
30.472770,-60.289654,10.004,85.2
63.268755,14.030309,10.004,78.8
29.850831,-55.909927,10.004,93.0
343.571186,-32.207752,10.004,113.6
324.654356,-13.228968,10.004,82.8
39.484422,-17.851959,10.004,77.6
25.028013,-15.272601,10.004,81.7
31.227282,-21.041483,10.004,123.8
48.969673,-36.312237,10.004,80.1
29.602813,-12.790440,10.004,77.7
45.191200,-20.445848,10.004,105.3
184.940193,11.153819,10.004,99.0
206.298455,73.078979,10.004,81.8
170.943169,34.055527,10.004,88.9
346.783712,-32.273224,10.004,122.4
19.466801,1.011610,10.004,81.6
27.642373,16.611029,10.004,78.7
354.394856,-51.651672,10.004,75.4
179.729883,68.495491,10.005,95.9
49.704750,10.383085,10.005,101.4
230.390820,13.404510,10.005,95.1
170.580854,-13.542695,10.005,85.3
164.855573,56.752686,10.005,92.9
156.009775,17.381550,10.005,86.9
128.333180,57.127396,10.005,88.0
218.150850,46.555676,10.005,76.0
135.306603,9.269678,10.005,81.9
5.628119,-41.494537,10.005,80.4
56.042192,-66.162964,10.005,83.9
45.506957,1.058523,10.005,84.1
10.555216,11.197086,10.005,78.0
184.133716,3.877066,10.005,132.8
10.255511,-14.919814,10.005,84.2
21.477637,-8.548818,10.005,84.7
20.589844,-18.173435,10.005,93.4
29.367881,18.320494,10.005,105.6
182.134928,-9.038335,10.005,75.9
23.954010,-11.447466,10.005,76.3
22.754160,-36.468315,10.005,83.8
163.453465,-20.350166,10.005,94.7
51.988464,6.971381,10.005,110.7
199.259848,4.749822,10.005,84.6
47.337850,-16.753435,10.005,85.2
335.056519,-39.718201,10.005,87.6
167.735841,18.711967,10.005,130.2
12.004787,-30.087986,10.005,121.6
339.010709,-31.500826,10.005,101.3
40.110982,11.389280,10.005,78.6
168.900539,20.111334,10.005,92.1
247.400363,-26.587744,10.006,77.2
351.429757,-28.513865,10.006,84.6
201.667763,28.420383,10.006,91.2
37.688447,-6.454573,10.006,103.3
178.598701,40.042030,10.006,109.7
232.704590,55.185493,10.006,83.2
214.017196,78.119064,10.006,99.6
15.675455,-29.086048,10.006,75.4
70.852723,-14.338870,10.006,93.0
38.651794,12.059367,10.006,102.6
217.044938,25.088060,10.006,78.1
342.890856,-44.749638,10.006,76.0
26.890998,-4.822963,10.006,75.8
212.534557,68.086258,10.006,83.6
333.795325,-24.484419,10.006,93.4
160.632660,24.303120,10.006,84.8
48.031170,-4.867373,10.006,75.1
190.161773,-27.085390,10.006,80.1
213.477054,43.426636,10.006,75.6
254.367373,26.656887,10.006,78.0
25.460231,-0.124529,10.006,99.3
322.054054,-19.548897,10.006,86.1
166.911778,16.206522,10.006,98.1
324.180872,-40.277370,10.006,103.0
207.918974,70.616753,10.006,84.0
219.052039,21.591955,10.006,80.8
233.150393,30.530870,10.006,75.5
177.454457,-25.184971,10.006,77.4
17.594121,23.290045,10.007,86.3
347.987743,-31.209354,10.007,79.7
246.775603,11.017738,10.007,80.7
214.408310,43.506954,10.007,80.8
2.012665,12.373287,10.007,86.1
227.735541,78.346359,10.007,77.1
61.128028,0.795768,10.007,86.6
214.793688,80.305756,10.007,126.2
34.765329,6.797087,10.007,80.9
191.787952,51.485271,10.007,106.9
148.669828,-4.397989,10.007,79.3
51.622644,-29.868408,10.007,89.2
159.956540,42.525307,10.007,89.8
28.216565,-13.164975,10.007,76.1
194.542156,19.065502,10.007,75.4
5.136190,-15.512630,10.007,88.6
26.013385,-9.396609,10.007,81.1
126.825559,44.048317,10.007,123.3
59.168736,-18.962563,10.007,138.2
208.680581,50.562786,10.007,83.1
147.541708,15.020895,10.007,76.4
218.296979,6.840458,10.007,80.9
31.716094,-19.748871,10.007,75.8
337.077678,-6.865872,10.007,87.9
154.262335,32.081295,10.007,114.9
15.697428,-54.516567,10.007,116.2
343.715656,-41.594627,10.008,83.4
10.859846,-27.246580,10.008,97.5
33.225488,-20.683695,10.008,133.0
38.928093,-29.783943,10.008,105.9
127.421789,69.078514,10.008,78.8
343.566073,7.995918,10.008,76.1
170.903498,15.046779,10.008,97.4
232.241371,22.144779,10.008,90.3
170.725530,23.160051,10.008,113.6
137.454202,32.158379,10.008,90.0
218.821968,3.777006,10.008,82.9
207.666171,13.970164,10.008,109.6
64.659118,-10.919187,10.008,77.3
69.428267,-45.314186,10.008,88.1
177.837548,20.757895,10.008,91.9
14.718744,9.419144,10.008,91.8
13.635095,-37.865356,10.008,75.3
44.549298,-24.863415,10.008,106.0
174.210162,11.640410,10.008,78.7
137.155948,39.267914,10.008,85.5
198.252920,30.127375,10.008,119.8
346.951424,-26.923332,10.008,101.2
51.070931,-14.741211,10.008,86.6
169.971832,38.309948,10.008,75.3
168.373455,9.359371,10.008,109.7
27.634044,24.427614,10.008,82.0
215.281415,43.096771,10.008,77.5
142.121587,-7.393582,10.008,92.1
49.846810,-45.639114,10.008,77.2
23.923005,-26.564264,10.008,97.9
125.058581,35.396427,10.008,82.9
357.037826,-40.438190,10.008,75.3
359.180245,3.156817,10.008,84.0
342.162939,-51.012550,10.009,76.0
42.721961,-22.820681,10.009,114.3
217.575758,7.688708,10.009,79.6
186.198691,-19.601242,10.009,97.6
15.230948,18.409430,10.009,84.1
325.166710,-50.775269,10.009,79.2
174.477775,34.536015,10.009,111.9
140.564665,18.707027,10.009,75.4
238.979414,23.755131,10.009,86.3
235.466860,67.926331,10.009,89.1
82.948253,-36.370712,10.009,90.5
179.663044,32.614742,10.009,90.1
57.099449,-7.655714,10.009,97.5
180.826827,72.526215,10.009,85.5
254.828862,33.606091,10.009,88.8
344.344709,-13.254642,10.009,78.0
30.698151,9.064294,10.009,104.2
150.237311,55.515514,10.009,76.2
146.832851,12.894053,10.009,84.4
189.551468,22.201479,10.009,88.7
1.734861,-17.716150,10.009,95.9
170.262598,-11.534412,10.009,76.6
19.545373,0.417932,10.009,94.2
189.984938,48.666004,10.009,125.5
163.152210,6.597958,10.009,98.5
355.197744,-3.551802,10.009,77.1
355.076989,-0.848297,10.009,93.1
349.912534,-20.055859,10.009,79.1
187.654685,34.233612,10.009,83.1
221.954120,35.074654,10.009,94.8
179.289861,62.514938,10.009,103.4
175.716056,22.092787,10.009,95.4
200.261588,52.670845,10.009,97.0
6.788877,-6.835585,10.009,95.0
19.032422,-55.819405,10.009,85.9
221.136020,27.640242,10.009,78.1
143.058021,46.444862,10.010,86.9
2.882149,14.510713,10.010,80.0
44.493613,-26.413420,10.010,115.5
6.472275,-44.901176,10.010,77.4
237.910684,31.217348,10.010,91.4
184.078004,37.623325,10.010,88.0
25.947287,-8.080381,10.010,95.4
236.349820,45.485500,10.010,77.8
161.724994,9.735509,10.010,97.7
220.243402,17.760883,10.010,114.5
139.397239,77.170364,10.010,82.0
0.682018,5.802407,10.010,104.4
12.928101,20.545916,10.010,112.8
145.128462,24.815775,10.010,103.9
156.137252,-1.201805,10.010,101.1
186.542038,39.440929,10.010,108.7
5.654302,-55.767719,10.010,105.7
203.875776,7.748402,10.010,99.8
344.893056,-31.256350,10.010,90.8
189.349484,-6.771734,10.011,84.3
196.338694,15.579886,10.011,87.7
41.867897,-26.996122,10.011,96.8
54.269542,-25.414225,10.011,78.0
