ra,dec,h_m,h_cmsig,prox,j_m,k_m,rd_flg,j_h,h_k,j_k
126.450589,-16.527452,6.004,0.039,22.6,6.845,5.734,111,0.8410,0.2700,1.1110
142.103457,-23.898993,6.001,0.029,15.9,6.895,5.698,111,0.8940,0.3030,1.1970
135.519903,-23.265028,6.009,0.041,22.4,6.983,5.687,111,0.9740,0.3220,1.2960
288.734122,7.313795,6.004,0.023,13.6,7.202,5.497,111,1.1980,0.5070,1.7050
289.896642,7.672852,6.007,0.017,10.7,7.534,5.168,111,1.5270,0.8390,2.3660
301.784404,-0.802923,6.005,0.031,23.5,6.887,5.713,111,0.8820,0.2920,1.1740
298.707175,-1.246541,6.008,0.023,18.1,6.989,5.653,111,0.9810,0.3550,1.3360
300.786698,-2.897309,6.002,0.017,23.2,6.960,5.691,111,0.9580,0.3110,1.2690
301.148423,-1.315150,6.006,0.011,15.6,6.606,5.835,111,0.6000,0.1710,0.7710
300.506419,-1.267413,6.005,0.013,25.0,6.922,5.664,111,0.9170,0.3410,1.2580
294.322720,-5.141821,6.006,0.019,15.0,6.418,5.850,111,0.4120,0.1560,0.5680
299.343291,-9.266182,6.002,0.019,15.4,6.845,5.784,111,0.8430,0.2180,1.0610
283.062168,26.026360,6.007,0.021,20.3,6.187,5.937,111,0.1800,0.0700,0.2500
282.753388,29.725695,6.007,0.037,12.0,6.454,5.861,111,0.4470,0.1460,0.5930
296.157522,22.858135,6.005,0.023,11.6,6.938,5.681,111,0.9330,0.3240,1.2570
294.551597,23.303627,6.005,0.007,15.1,7.293,5.311,111,1.2880,0.6940,1.9820
273.696322,-2.197236,6.005,0.009,11.5,7.369,5.378,111,1.3640,0.6270,1.9910
225.839197,-34.884880,6.003,0.015,21.1,6.567,5.880,111,0.5640,0.1230,0.6870
274.771025,-0.724468,6.008,0.047,13.0,7.115,5.618,111,1.1070,0.3900,1.4970
274.101267,-6.675205,6.006,0.021,13.6,7.230,5.287,111,1.2240,0.7190,1.9430
255.022319,-48.707027,6.007,0.039,13.2,7.066,5.348,111,1.0590,0.6590,1.7180
254.188829,-43.280060,6.001,0.043,12.4,7.785,5.108,111,1.7840,0.8930,2.6770
256.044320,-43.572887,6.004,0.037,10.4,6.620,5.832,111,0.6160,0.1720,0.7880
239.325220,-55.193745,6.005,0.041,14.1,7.158,5.478,111,1.1530,0.5270,1.6800
233.492152,-58.607548,6.007,0.051,16.2,7.266,5.385,111,1.2590,0.6220,1.8810
264.643424,-66.786652,6.006,0.039,15.9,6.916,5.613,111,0.9100,0.3930,1.3030
260.800743,-59.831371,6.008,0.031,12.1,6.477,5.863,111,0.4690,0.1450,0.6140
262.956149,-59.169548,6.003,0.037,14.1,6.844,5.771,111,0.8410,0.2320,1.0730
264.549993,-61.276115,6.006,0.019,14.1,6.860,5.714,111,0.8540,0.2920,1.1460
264.825078,-60.681995,6.003,0.021,12.4,6.526,5.868,111,0.5230,0.1350,0.6580
266.002058,-59.585861,6.002,0.039,19.2,6.630,5.855,111,0.6280,0.1470,0.7750
246.120526,-62.663982,6.006,0.029,11.1,6.731,5.805,111,0.7250,0.2010,0.9260
241.605664,-54.794342,6.008,0.047,13.2,7.206,5.344,111,1.1980,0.6640,1.8620
242.676300,-55.627193,6.002,0.027,12.3,7.107,5.504,111,1.1050,0.4980,1.6030
112.806874,-8.519282,6.009,0.023,14.6,7.237,5.304,111,1.2280,0.7050,1.9330
109.691802,-7.796158,6.001,0.035,13.5,7.261,5.295,111,1.2600,0.7060,1.9660
95.149442,-20.677940,6.001,0.021,21.8,6.522,5.850,111,0.5210,0.1510,0.6720
93.340893,-20.648809,6.002,0.021,36.9,6.590,5.848,111,0.5880,0.1540,0.7420
99.423355,-23.581841,6.009,0.009,32.6,6.814,5.726,111,0.8050,0.2830,1.0880
98.351632,-15.535863,6.009,0.027,18.4,6.597,5.877,111,0.5880,0.1320,0.7200
107.198525,-12.614665,6.004,0.039,15.0,6.594,5.805,111,0.5900,0.1990,0.7890
290.320079,-22.665951,6.005,0.033,16.7,6.884,5.582,111,0.8790,0.4230,1.3020
280.918980,23.535318,6.009,0.011,13.2,6.602,5.878,111,0.5930,0.1310,0.7240
279.222243,22.579218,6.003,0.021,17.9,6.731,5.802,111,0.7280,0.2010,0.9290
255.697876,-37.231930,6.007,0.023,11.3,7.100,5.528,111,1.0930,0.4790,1.5720
253.222861,-42.389290,6.003,0.029,13.0,7.005,5.610,111,1.0020,0.3930,1.3950
255.151408,-41.320175,6.002,0.033,10.5,7.682,5.169,111,1.6800,0.8330,2.5130
254.417896,-42.304775,6.006,0.037,11.4,7.101,5.618,111,1.0950,0.3880,1.4830
259.471680,-39.664322,6.005,0.025,10.7,7.170,5.485,111,1.1650,0.5200,1.6850
274.785096,-17.495451,6.004,0.049,10.8,7.101,5.564,111,1.0970,0.4400,1.5370
270.380313,-17.814316,6.009,0.047,13.1,7.076,5.568,111,1.0670,0.4410,1.5080
270.599458,-18.829262,6.006,0.011,11.3,7.451,5.392,111,1.4450,0.6140,2.0590
271.635205,-17.206011,6.003,0.031,12.8,7.614,5.129,111,1.6110,0.8740,2.4850
278.938206,-12.922076,6.009,0.029,13.9,7.179,5.275,111,1.1700,0.7340,1.9040
266.692482,-46.150349,6.009,0.033,18.4,6.941,5.635,111,0.9320,0.3740,1.3060
264.219921,-46.698860,6.003,0.027,12.9,6.989,5.573,111,0.9860,0.4300,1.4160
262.381059,-47.422508,6.005,0.031,16.8,7.037,5.560,111,1.0320,0.4450,1.4770
229.241491,-42.541256,6.002,0.041,15.7,6.828,5.715,111,0.8260,0.2870,1.1130
219.375412,-44.369720,6.008,0.035,14.3,6.860,5.415,111,0.8520,0.5930,1.4450
218.881233,-41.517406,6.009,0.041,17.1,5.988,6.030,111,-0.0210,-0.0210,-0.0420
220.112902,-42.540016,6.002,0.031,14.7,6.890,5.706,111,0.8880,0.2960,1.1840
223.503321,-43.597839,6.005,0.025,23.5,6.459,5.863,111,0.4540,0.1420,0.5960
261.398437,-41.338970,6.005,0.045,15.2,6.543,5.793,111,0.5380,0.2120,0.7500
258.141465,-44.250519,6.004,0.035,11.1,7.371,5.320,111,1.3670,0.6840,2.0510
185.427546,-54.907135,6.005,0.027,10.7,6.948,5.639,111,0.9430,0.3660,1.3090
190.525395,-49.788761,6.009,0.043,22.4,6.889,5.638,111,0.8800,0.3710,1.2510
182.591920,-65.698250,6.005,0.027,18.0,6.880,5.680,111,0.8750,0.3250,1.2000
21.156196,32.004723,6.006,0.011,15.5,6.489,5.905,111,0.4830,0.1010,0.5840
21.760253,34.639107,6.002,0.029,43.2,6.421,5.851,111,0.4190,0.1510,0.5700
44.656258,54.610481,6.001,0.015,14.3,6.885,5.670,111,0.8840,0.3310,1.2150
