ra,dec,err_maj,err_min,err_ang,designation,j_m,j_cmsig,j_msigcom,j_snr,h_m,h_cmsig,h_msigcom,h_snr,k_m,k_cmsig,k_msigcom,k_snr,ph_qual,rd_flg,bl_flg,cc_flg,ndet,prox,gal_contam,mp_flg,j_h,h_k,j_k
351.300091,61.324657,0.06,0.06,0,23251202+6119287,6.272,0.015,0.023,94108.8,5.023,0.017,0.023,141159.5,4.517,0.021,0.026,122919.3,AAA,111,111,000,666656,27.7,0,0,1.2490,0.5060,1.7550
312.876694,-17.506773,0.07,0.06,0,20513040-1730243,5.614,0.017,0.024,191350.7,5.023,0.041,0.044,146120.1,4.770,0.015,0.021,104332.6,AAA,111,111,00d,463646,29.2,0,0,0.5910,0.2530,0.8440
263.660474,4.099170,0.07,0.06,0,17343851+0405570,5.508,0.017,0.024,196892.9,5.023,0.027,0.031,141159.5,4.828,0.013,0.020,98905.4,AAA,111,111,000,474666,26.0,0,0,0.4850,0.1950,0.6800
71.507234,11.705580,0.08,0.08,0,04460173+1142200,4.996,0.005,0.018,362268.0,5.023,0.027,0.031,151255.1,4.974,0.013,0.020,99270.4,EAA,111,111,000,266766,22.5,0,0,-0.0270,0.0490,0.0220
286.906001,0.102527,0.12,0.07,0,19073744+0006090,6.159,0.019,0.026,90955.7,5.024,0.019,0.024,118661.6,4.301,0.009,0.017,126188.6,AAA,111,111,000,665636,20.5,0,0,1.1350,0.7230,1.8580
109.816642,-49.978020,0.06,0.06,0,07191599-4958408,5.470,0.015,0.023,203906.0,5.024,0.017,0.023,151115.8,4.802,0.017,0.023,91331.4,AAA,111,111,000,775766,20.2,0,0,0.4460,0.2220,0.6680
163.118985,-33.655067,0.07,0.07,90,10522855-3339182,5.655,0.025,0.030,160483.4,5.024,0.071,0.073,131616.4,4.803,0.025,0.029,88149.5,AEA,111,111,000,662645,20.5,0,0,0.6310,0.2210,0.8520
88.539712,10.244419,0.15,0.09,90,05540953+1014399,5.448,0.007,0.018,187598.8,5.024,0.013,0.020,136241.7,4.878,0.011,0.018,82265.9,AAA,111,111,000,666656,29.1,0,0,0.4240,0.1460,0.5700
280.956059,35.601444,0.06,0.06,90,18434945+3536051,5.902,0.013,0.021,162790.9,5.024,0.011,0.018,151115.8,4.734,0.013,0.020,107850.0,AAA,111,111,000,675767,26.1,0,0,0.8780,0.2900,1.1680
195.814910,47.968258,0.08,0.07,90,13031557+4758057,5.654,0.013,0.021,178168.1,5.024,0.003,0.015,141029.5,4.808,0.009,0.017,94019.9,AEA,111,111,000,662666,45.8,0,0,0.6300,0.2160,0.8460
243.073018,32.655334,0.06,0.06,90,16121752+3239192,5.516,0.015,0.023,232289.7,5.024,0.015,0.021,145985.6,4.901,0.005,0.016,109905.7,AAA,111,111,000,564666,48.3,0,0,0.4920,0.1230,0.6150
105.538520,-34.088795,0.07,0.07,90,07020924-3405196,5.914,0.021,0.027,172516.2,5.024,0.003,0.015,185913.1,4.700,0.007,0.016,103853.2,AEA,111,111,000,662646,21.4,0,0,0.8900,0.3240,1.2140
98.556695,45.966503,0.07,0.07,90,06341360+4557594,5.940,0.015,0.023,132260.5,5.024,0.025,0.029,161923.5,4.702,0.031,0.034,123202.6,AEA,111,111,000,662546,24.3,0,0,0.9160,0.3220,1.2380
350.847694,5.241754,0.08,0.07,0,23232344+0514303,5.617,0.033,0.037,234763.2,5.024,0.037,0.040,161923.5,4.832,0.023,0.027,121232.8,AAA,111,111,00d,464645,21.1,0,0,0.5930,0.1920,0.7850
309.875355,13.340902,0.06,0.06,0,20393008+1320272,5.538,0.015,0.023,235629.7,5.024,0.025,0.029,192446.5,4.894,0.011,0.018,86860.0,AEA,111,111,000,562666,21.3,0,0,0.5140,0.1300,0.6440
202.493361,-14.001524,0.06,0.06,0,13295840-1400054,5.819,0.005,0.018,153048.8,5.024,0.031,0.034,156426.4,4.760,0.019,0.024,88597.2,AAA,111,111,000,664666,41.0,0,0,0.7950,0.2640,1.0590
152.331709,20.332384,0.08,0.08,90,10091961+2019565,5.395,0.011,0.020,268800.5,5.024,0.009,0.017,161923.5,4.930,0.007,0.016,114662.1,AEA,111,111,000,672656,30.2,0,0,0.3710,0.0940,0.4650
273.071396,56.772976,0.12,0.06,0,18121713+5646227,5.811,0.025,0.030,183244.1,5.024,0.015,0.021,167613.9,4.836,0.005,0.016,133973.8,AAA,111,111,000,666655,48.0,0,0,0.7870,0.1880,0.9750
45.608278,26.609287,0.08,0.07,0,03022598+2636334,5.340,0.013,0.021,324660.9,5.024,0.003,0.015,185913.1,4.951,0.005,0.016,112465.7,AEA,111,111,000,362667,23.0,0,0,0.3160,0.0730,0.3890
24.407032,-9.403852,0.08,0.07,0,01373768-0924138,5.211,0.011,0.020,258839.2,5.024,0.025,0.029,145985.6,4.893,0.011,0.018,86940.1,AAA,111,111,000,465666,69.7,0,0,0.1870,0.1310,0.3180
273.401474,-71.948853,0.10,0.08,0,18133635-7156558,5.765,0.007,0.018,166506.0,5.024,0.013,0.020,156426.4,4.755,0.009,0.017,109501.5,AEA,111,111,000,662666,23.0,0,0,0.7410,0.2690,1.0100
303.437147,-14.196399,0.07,0.07,0,20134491-1411470,5.822,0.013,0.021,175238.7,5.024,0.075,0.076,145985.6,4.756,0.005,0.016,102098.7,AEA,111,111,000,661656,24.7,0,0,0.7980,0.2680,1.0660
43.790130,2.993551,0.16,0.06,0,02550963+0259367,5.729,0.011,0.020,178168.1,5.024,0.043,0.045,141029.5,4.705,0.017,0.023,110769.4,AAA,111,111,000,564757,25.4,0,0,0.7050,0.3190,1.0240
269.873962,30.727736,0.08,0.06,0,17592975+3043398,5.566,0.015,0.023,193210.2,5.024,0.015,0.021,145985.6,4.912,0.015,0.021,108797.8,AAA,111,111,000,665555,26.7,0,0,0.5420,0.1120,0.6540
108.565000,-0.478031,0.08,0.07,90,07141560-0028409,5.889,0.029,0.034,138621.3,5.024,0.037,0.040,131616.4,4.645,0.019,0.024,101957.7,AAA,111,111,000,664655,24.6,0,0,0.8650,0.3790,1.2440
317.875392,73.887550,0.06,0.06,90,21113009+7353151,6.007,0.011,0.020,124345.5,5.024,0.041,0.044,114633.1,4.395,0.027,0.031,132867.9,AAA,111,111,000,665635,30.2,0,0,0.9830,0.6290,1.6120
56.903968,23.609163,0.07,0.06,90,03473695+2336329,5.569,0.025,0.030,192677.1,5.024,0.023,0.027,131616.4,4.879,0.019,0.024,101116.0,AAA,111,111,000,563655,52.5,0,0,0.5450,0.1450,0.6900
