ra,dec,err_maj,err_min,err_ang,designation,j_m,j_cmsig,j_msigcom,j_snr,h_m,h_cmsig,h_msigcom,h_snr,k_m,k_cmsig,k_msigcom,k_snr,ph_qual,rd_flg,bl_flg,cc_flg,ndet,prox,gal_contam,mp_flg,j_h,h_k,j_k
159.879450,-55.822201,0.06,0.06,0,10393106-5549199,8.111,0.025,0.030,15596.6,7.005,0.037,0.040,19138.6,6.584,0.019,0.024,15952.2,AAA,111,111,000,666666,14.0,0,0,1.1060,0.4210,1.5270
163.521635,-55.415878,0.06,0.06,90,10540519-5524571,8.045,0.015,0.023,16011.4,7.009,0.029,0.033,22662.6,6.562,0.011,0.018,17443.0,AAA,111,111,000,666656,26.1,0,0,1.0360,0.4470,1.4830
161.040274,-54.683609,0.06,0.06,0,10440966-5441009,7.714,0.015,0.023,21718.5,7.002,0.037,0.040,22034.9,6.754,0.023,0.027,14119.5,AAA,111,111,000,666656,12.0,0,0,0.7120,0.2480,0.9600
166.274292,-55.681263,0.07,0.06,0,11050583-5540525,7.849,0.011,0.020,19179.2,7.009,0.043,0.045,19738.3,6.728,0.011,0.018,14461.7,AAA,111,111,000,777766,10.4,0,0,0.8400,0.2810,1.1210
168.339704,-56.569687,0.06,0.06,0,11132152-5634108,7.838,0.009,0.019,22244.9,7.002,0.035,0.038,25299.4,6.792,0.027,0.031,14113.0,AAA,111,111,000,666666,17.6,0,0,0.8360,0.2100,1.0460
186.653520,-38.031715,0.06,0.06,90,12263684-3801541,7.752,0.019,0.026,28617.4,7.001,0.029,0.033,29074.4,6.787,0.019,0.024,16850.8,AAA,111,111,000,666666,60.9,0,0,0.7510,0.2140,0.9650
201.238287,-27.148230,0.06,0.06,90,13245718-2708536,7.542,0.023,0.029,35944.3,7.005,0.031,0.034,29985.4,6.875,0.015,0.021,15011.4,AAA,111,111,000,666646,15.9,0,0,0.5370,0.1300,0.6670
197.762195,-28.826820,0.06,0.06,90,13110292-2849365,7.796,0.009,0.019,31552.2,7.003,0.043,0.045,26164.4,6.844,0.021,0.026,18357.8,AAA,111,111,000,666666,12.5,0,0,0.7930,0.1590,0.9520
180.915551,-30.863382,0.06,0.06,90,12033973-3051481,7.577,0.019,0.026,33622.5,7.003,0.043,0.045,34491.3,6.892,0.015,0.021,15835.1,AAA,111,111,000,666666,49.5,0,0,0.5740,0.1110,0.6850
188.753995,-26.712637,0.06,0.06,90,12350095-2642454,7.162,0.017,0.024,49275.4,7.004,0.031,0.034,33289.7,6.944,0.013,0.020,14582.1,AAA,111,111,000,666666,34.1,0,0,0.1580,0.0600,0.2180
192.635283,-26.327993,0.06,0.06,90,12503246-2619407,7.701,0.019,0.026,33268.2,7.006,0.027,0.031,26092.2,6.836,0.025,0.029,15560.4,AAA,111,111,000,666666,11.3,0,0,0.6950,0.1700,0.8650
186.731849,-31.214315,0.06,0.06,0,12265564-3112515,7.494,0.021,0.027,31610.4,7.004,0.019,0.024,21247.6,6.885,0.015,0.021,13881.0,AAA,111,111,000,666656,26.7,0,0,0.4900,0.1190,0.6090
221.595299,-1.158678,0.08,0.07,0,14462287-0109312,7.810,0.019,0.026,29069.0,7.005,0.035,0.038,32130.0,6.803,0.013,0.020,15496.0,AAA,111,111,000,666666,11.0,0,0,0.8050,0.2020,1.0070
207.796016,-15.899589,0.07,0.07,90,13511104-1553585,7.748,0.025,0.030,30777.3,7.005,0.035,0.038,31039.2,6.803,0.017,0.023,14461.7,AAA,111,111,000,666666,39.4,0,0,0.7430,0.2020,0.9450
213.594670,-0.601186,0.13,0.06,0,14142272-0036042,7.485,0.013,0.021,35353.3,7.007,0.059,0.061,28914.1,6.881,0.025,0.029,13002.3,AAA,111,111,000,666655,47.9,0,0,0.4780,0.1260,0.6040
204.145663,-22.884033,0.06,0.06,90,13363495-2253025,7.554,0.017,0.024,33176.5,7.005,0.025,0.029,27034.0,6.881,0.019,0.024,15453.3,AAA,111,111,000,676666,44.0,0,0,0.5490,0.1240,0.6730
322.985953,-7.905532,0.07,0.06,90,21315662-0754199,7.573,0.019,0.026,32600.9,7.009,0.031,0.034,23459.0,6.926,0.015,0.021,13836.3,AAA,111,111,000,666656,18.2,0,0,0.5640,0.0830,0.6470
325.115603,-2.017554,0.06,0.06,90,21402774-0201031,7.330,0.023,0.029,50168.4,7.008,0.025,0.029,24305.8,6.915,0.015,0.021,15503.1,AAA,111,111,000,666666,41.3,0,0,0.3220,0.0930,0.4150
323.304328,-1.901201,0.10,0.10,90,21331303-0154043,7.683,0.011,0.020,32676.1,7.002,0.025,0.029,21286.8,6.892,0.021,0.026,15297.5,AAA,111,111,000,666666,49.9,0,0,0.6810,0.1100,0.7910
333.468823,-22.264444,0.06,0.06,90,22135251-2215519,7.301,0.011,0.020,44877.6,7.009,0.039,0.042,23459.0,6.875,0.011,0.018,15538.9,AAA,111,111,000,776766,55.8,0,0,0.2920,0.1340,0.4260
