ra,dec,h_m,prox
215.675839,7.065347,11.001,91.7
79.928683,-27.674473,11.001,76.2
176.043339,35.172768,11.001,75.1
53.481200,9.996420,11.001,79.6
151.980403,61.220737,11.001,102.3
227.270261,42.475784,11.001,75.6
6.464598,-19.776991,11.001,92.8
177.467157,17.362545,11.001,83.1
204.927258,-7.495223,11.001,101.5
197.441403,8.292051,11.001,94.9
24.045089,-26.579405,11.001,98.6
148.673121,20.054255,11.001,133.9
223.845836,60.275257,11.001,77.1
7.696661,-15.176343,11.001,86.9
204.492350,28.142927,11.001,100.3
199.754403,42.273491,11.001,102.5
169.826388,50.033104,11.001,93.4
30.813300,-28.758039,11.001,77.9
210.614065,-1.773666,11.001,91.8
194.262459,39.530346,11.001,125.6
4.517453,-20.658009,11.001,90.3
44.272925,0.735494,11.001,76.1
207.908965,41.681145,11.001,101.9
194.723223,-16.127737,11.001,79.7
184.752297,11.983861,11.001,98.8
27.400175,-29.977043,11.001,94.6
178.260672,48.977272,11.001,75.5
37.784622,15.383941,11.001,110.8
14.110325,-21.424368,11.001,83.9
165.019596,32.143169,11.001,86.1
163.597916,10.895929,11.001,77.3
151.583232,-6.179782,11.001,80.3
181.403106,18.456877,11.001,81.2
177.392583,-2.965113,11.001,125.5
177.813294,18.318724,11.001,112.6
67.839890,-13.305771,11.001,79.1
23.756387,-7.237567,11.001,105.2
41.929711,17.802483,11.001,80.7
160.739054,17.232533,11.001,101.3
144.866494,21.968887,11.001,80.8
40.031740,7.473025,11.001,79.6
172.591048,32.391724,11.001,87.9
65.230188,-17.392416,11.001,104.4
12.481578,-22.233025,11.001,95.2
40.535324,-58.191624,11.001,84.0
62.551494,-63.856133,11.001,81.6
34.734677,-43.945900,11.001,76.0
46.505749,-51.263550,11.001,109.8
59.384068,-29.557688,11.001,89.0
155.105256,56.025246,11.001,86.4
22.791812,-26.228546,11.001,89.5
225.167526,20.844830,11.001,90.6
343.637070,14.434229,11.001,95.6
54.498535,-3.504592,11.001,105.1
51.676717,-12.179483,11.001,88.8
221.888412,42.565598,11.001,91.8
9.744954,-47.994473,11.001,77.6
172.136360,-3.433710,11.001,84.5
1.679883,29.638968,11.002,82.1
25.829949,-35.943214,11.002,86.9
185.259605,77.734482,11.002,77.2
237.840544,17.108997,11.002,78.7
36.184844,0.678145,11.002,75.5
29.663251,-13.558072,11.002,93.6
22.726948,-34.324280,11.002,75.1
62.432522,-22.818813,11.002,79.4
181.757265,5.183223,11.002,98.3
173.725947,22.133539,11.002,103.2
341.257197,-38.111279,11.002,96.9
151.557262,56.084351,11.002,80.9
164.655182,15.724934,11.002,76.2
23.206073,-34.116497,11.002,77.5
20.431535,-59.927517,11.002,82.8
179.402104,36.489700,11.002,95.2
338.197925,-0.664907,11.002,108.8
336.398216,6.073050,11.002,92.6
32.724160,-54.694771,11.002,88.0
31.797739,-15.204715,11.002,75.1
46.809788,-48.666451,11.002,123.2
29.651818,-51.808613,11.002,100.1
18.600475,-6.974719,11.002,81.2
27.473735,15.082007,11.002,81.6
157.024679,66.795807,11.002,76.6
220.109349,68.673798,11.002,102.4
21.363374,-6.952439,11.002,76.1
234.773518,52.603554,11.002,106.4
186.041175,30.656763,11.002,75.8
38.038772,-8.843605,11.002,93.2
50.379345,-39.484180,11.002,118.5
22.199861,-24.869373,11.002,82.2
209.627742,8.474838,11.002,95.7
335.138346,-53.171749,11.002,83.6
187.654171,31.936378,11.002,96.1
189.037313,12.950087,11.002,77.6
191.822944,37.257320,11.002,78.1
43.218165,-15.247181,11.002,92.5
250.914388,30.576372,11.002,118.8
237.410813,41.387814,11.002,75.3
191.545302,36.535728,11.002,81.7
148.295103,37.689812,11.002,77.5
186.413322,11.385711,11.002,79.2
187.027390,-9.318547,11.002,107.9
5.574736,-1.447718,11.002,77.5
31.413968,-19.691286,11.002,122.4
2.959788,5.400542,11.002,83.0
196.152222,4.437608,11.002,114.8
56.474572,13.962204,11.002,78.0
39.015980,-11.533582,11.003,87.2
172.020143,-8.605790,11.003,81.5
348.220795,-50.216881,11.003,123.7
24.476755,-2.117756,11.003,97.7
161.389330,53.187527,11.003,83.5
200.724907,64.840744,11.003,80.1
175.656512,0.252954,11.003,92.1
41.497477,-10.746284,11.003,89.2
203.008302,27.060774,11.003,81.7
16.531749,-22.708738,11.003,98.8
163.885710,23.086430,11.003,87.8
43.648111,-0.903134,11.003,84.1
336.016022,1.216676,11.003,89.4
353.664977,-24.067719,11.003,126.4
11.351012,-8.141897,11.003,78.9
217.194441,0.354492,11.003,78.9
186.512346,-22.599504,11.003,79.5
12.891180,5.648182,11.003,77.0
349.999511,-25.660254,11.003,81.8
346.330895,-13.466022,11.003,80.2
247.701300,65.693184,11.003,100.3
172.889823,44.006157,11.003,79.4
209.678002,10.480516,11.003,83.0
355.614293,-5.168074,11.003,89.6
326.758582,-16.513699,11.003,80.1
12.785525,-10.587747,11.003,82.0
177.926792,41.519894,11.003,94.3
54.388704,1.205058,11.003,81.1
41.455287,16.777966,11.003,86.3
13.346207,9.370817,11.003,111.9
7.607281,-37.840786,11.003,83.5
12.147552,-45.646767,11.003,86.0
197.906109,40.347706,11.003,114.7
177.499268,30.739511,11.003,86.7
72.923056,-15.935990,11.003,83.1
33.425696,7.726517,11.003,109.8
215.869490,25.773378,11.003,110.2
357.319617,7.144937,11.003,95.9
197.767987,6.961842,11.003,86.9
43.694384,-39.551083,11.003,77.4
345.120334,-11.129757,11.003,96.9
347.538954,-20.946646,11.003,84.6
64.974522,-34.392136,11.003,80.6
22.527375,-38.256237,11.003,84.9
7.551545,22.978182,11.003,90.5
32.513088,25.174400,11.003,79.8
335.870281,-17.601156,11.003,80.4
209.833562,43.332127,11.003,122.1
224.840343,26.890097,11.003,104.0
198.506858,21.885609,11.003,98.2
148.934234,27.655306,11.003,110.0
197.283291,87.411667,11.003,80.5
235.944269,6.625166,11.003,85.7
155.331475,4.746407,11.003,88.3
173.271263,52.425404,11.003,89.3
0.244915,2.251841,11.003,97.8
333.467803,-25.165310,11.003,77.6
234.994119,37.659046,11.004,98.7
107.861392,47.762287,11.004,80.4
122.881145,64.475960,11.004,89.4
16.043482,-25.498993,11.004,81.4
359.566054,-39.388927,11.004,77.5
45.672592,-46.240303,11.004,78.0
6.183319,-17.493895,11.004,82.0
10.237267,-27.745512,11.004,78.3
326.043233,-12.628853,11.004,84.4
148.229247,-3.974842,11.004,75.2
4.716093,-26.379084,11.004,84.1
2.202707,-39.052311,11.004,101.9
178.633614,11.274057,11.004,104.0
205.942747,36.387497,11.004,112.9
193.086031,63.576271,11.004,95.4
203.399578,3.463540,11.004,75.8
33.706190,4.622076,11.004,104.9
125.640508,13.972451,11.004,75.1
19.454415,-4.547601,11.004,90.6
148.420803,29.219604,11.004,96.9
19.954518,-32.988102,11.004,89.7
344.805717,-63.647888,11.004,105.8
172.490187,25.185839,11.004,75.9
42.238774,-6.086752,11.004,91.0
153.923277,66.019890,11.004,76.3
127.785953,7.789842,11.004,85.6
161.643580,21.804352,11.004,76.6
193.406322,-2.819029,11.004,109.8
325.513614,-38.083416,11.004,75.3
54.172844,-22.713915,11.004,85.4
65.920641,-55.428486,11.004,81.1
339.145133,-6.393332,11.004,79.6
124.874322,27.728088,11.004,76.7
226.705156,80.453911,11.004,92.4
345.855775,0.099595,11.004,86.6
170.039819,65.703171,11.004,79.7
141.468812,9.055909,11.004,82.9
184.722267,35.030518,11.004,101.8
215.906769,25.046902,11.004,78.2
143.295545,51.223030,11.004,86.7
348.927156,16.929222,11.004,107.7
196.225059,38.718170,11.004,78.9
350.602598,-13.646680,11.004,120.6
162.085650,-11.635634,11.004,78.0
135.780087,47.821087,11.004,102.6
158.666649,29.594618,11.004,82.3
10.812124,-0.033214,11.004,75.1
200.963791,50.747631,11.004,93.4
7.315602,-22.468697,11.004,110.9
345.477421,-11.564734,11.004,79.2
213.205605,58.930649,11.004,103.5
172.951110,46.833164,11.004,117.7
211.963997,10.343951,11.004,77.3
186.253087,-0.370000,11.004,92.8
23.414869,-36.207134,11.005,76.7
15.082048,-64.608971,11.005,79.8
162.751991,44.621243,11.005,98.9
11.020163,-28.647110,11.005,78.7
40.156238,21.027748,11.005,79.4
34.425462,-3.991596,11.005,87.3
222.591326,36.536549,11.005,82.9
11.192916,37.248653,11.005,79.0
21.980255,7.162956,11.005,105.1
63.233657,-54.539032,11.005,82.5
160.104379,13.793101,11.005,75.1
44.437435,-39.916733,11.005,92.3
223.814007,29.243082,11.005,103.8
238.599165,46.348797,11.005,90.0
196.249536,55.085381,11.005,108.8
38.319143,-12.644553,11.005,90.6
6.187504,-44.499599,11.005,89.7
68.682104,-52.750767,11.005,83.4
216.952444,26.123631,11.005,147.9
7.250110,-36.762951,11.005,77.8
154.465479,44.195702,11.005,96.8
32.288962,-25.061800,11.005,100.5
20.217324,-4.103252,11.005,123.3
185.983075,35.950932,11.005,107.7
359.173414,22.359449,11.005,91.6
23.743779,7.842762,11.005,100.4
209.789136,60.001011,11.005,84.0
193.518575,-10.251583,11.005,88.0
355.962391,-5.402313,11.005,86.0
158.608195,10.055662,11.005,76.2
226.570444,47.895615,11.005,81.0
193.864424,30.911579,11.005,194.1
5.730283,22.554243,11.005,92.0
42.722507,-44.189045,11.005,77.3
8.639173,14.242070,11.005,82.0
355.994645,-47.814568,11.005,93.8
164.343516,1.123472,11.005,76.6
203.030983,-0.544432,11.005,94.0
165.361640,68.904167,11.005,87.9
148.392136,50.822094,11.005,94.5
17.002744,-68.080498,11.005,82.6
221.130173,30.200783,11.005,78.2
125.627588,37.677189,11.005,91.0
14.247859,-26.564083,11.005,78.4
236.264236,47.549568,11.005,75.6
84.124276,-41.390141,11.005,79.3
9.865903,-15.518999,11.005,111.2
241.872802,46.612804,11.005,93.0
150.189765,26.983505,11.005,107.2
355.450331,29.376635,11.005,78.3
237.746237,59.084038,11.005,94.4
54.962689,-39.034782,11.005,86.6
240.367710,52.828114,11.005,92.8
351.650315,12.823258,11.006,79.2
60.499783,-29.662483,11.006,78.9
51.437133,0.090098,11.006,76.7
18.250938,-7.808134,11.006,97.8
14.709824,-9.184080,11.006,103.3
64.407183,1.414795,11.006,87.6
54.768309,6.190707,11.006,124.3
170.454559,33.991417,11.006,76.4
27.348734,-24.715578,11.006,159.6
184.599061,38.814705,11.006,106.4
72.027521,6.968519,11.006,75.9
24.717540,-24.280018,11.006,100.4
2.540072,-6.857426,11.006,97.6
215.996222,62.047066,11.006,100.3
136.494965,37.991676,11.006,83.2
34.627169,-53.849976,11.006,77.6
7.632195,0.460768,11.006,99.2
3.839402,-30.673277,11.006,85.1
139.362468,34.386028,11.006,80.6
28.822371,-10.311195,11.006,81.2
169.723694,25.536324,11.006,79.3
219.276691,24.440163,11.006,88.2
69.136848,-24.841324,11.006,77.2
216.839090,22.489614,11.006,80.5
76.571268,-25.977261,11.006,96.5
36.876065,-62.146469,11.006,85.4
12.494170,8.829726,11.006,78.2
154.257691,17.559486,11.006,122.3
170.451997,4.922656,11.006,76.1
28.273382,-30.100273,11.006,97.8
353.295758,-26.788982,11.006,92.1
173.396162,11.138374,11.006,75.1
134.732668,60.835049,11.006,92.5
166.231757,8.283384,11.006,90.3
44.576652,-11.542535,11.006,80.5
17.905630,-23.442568,11.006,87.8
353.912279,-65.813797,11.006,78.5
209.713575,35.670200,11.006,85.6
221.960756,67.674301,11.006,123.7
70.002963,-46.313343,11.006,81.9
351.574485,-35.235416,11.006,110.6
38.746706,-11.062303,11.006,75.1
207.539431,56.172043,11.006,95.4
203.405244,35.338924,11.006,97.6
130.538439,70.392754,11.006,94.6
153.910040,65.624649,11.006,85.6
225.809698,64.089378,11.006,99.5
137.252318,28.368807,11.006,77.4
60.671805,-52.743073,11.006,98.3
209.333088,51.014454,11.006,125.6
174.280406,52.818474,11.006,88.6
56.146957,-19.588203,11.006,85.7
30.760232,-6.451774,11.006,86.7
16.679508,-52.635174,11.006,78.7
33.347230,4.089176,11.006,81.2
62.719415,-28.129333,11.006,76.3
331.178348,-27.841454,11.006,84.8
149.734380,-14.315539,11.006,83.8
172.825444,-6.859279,11.006,92.9
341.215955,-38.287663,11.006,91.2
25.261510,-35.973694,11.006,96.6
16.101474,6.340925,11.006,83.6
206.963207,64.240356,11.006,98.7
170.751252,62.772053,11.006,85.5
63.857470,-14.411175,11.006,101.0
221.763376,38.791286,11.006,88.4
356.929755,-54.826351,11.007,77.5
19.493766,-48.664551,11.007,80.9
196.879798,33.715134,11.007,83.0
158.150912,65.469307,11.007,89.5
201.665274,39.923996,11.007,84.4
208.861015,37.397579,11.007,90.0
166.566428,23.729940,11.007,158.1
187.269202,11.097533,11.007,75.9
171.118006,43.729206,11.007,110.1
112.201934,81.039490,11.007,93.9
210.368107,36.553288,11.007,82.3
351.647362,-8.513916,11.007,115.3
345.695387,-10.436619,11.007,122.7
219.260974,31.469128,11.007,77.5
343.479801,-3.138017,11.007,92.0
176.009690,60.454735,11.007,110.3
346.446213,1.941678,11.007,92.2
156.934769,8.644710,11.007,93.8
160.164298,10.302688,11.007,77.2
354.725786,-11.416613,11.007,87.5
185.499465,56.729885,11.007,85.1
342.955324,-2.282761,11.007,90.3
346.999584,-55.282375,11.007,81.0
202.116999,13.655872,11.007,84.1
30.878637,-6.692062,11.007,83.3
183.119914,17.745440,11.007,87.8
213.576804,-22.849615,11.007,84.2
56.841493,2.391660,11.007,93.2
16.920284,21.387526,11.007,83.6
314.816558,-49.380856,11.007,90.9
63.362319,-11.978851,11.007,85.9
172.928357,1.038592,11.007,82.9
153.851668,-3.141976,11.007,85.9
113.233253,44.968124,11.007,78.7
8.378372,30.916233,11.007,79.4
246.975849,14.963511,11.007,76.0
161.400497,-20.292282,11.007,78.3
125.916822,32.392651,11.007,81.2
12.401826,-24.065472,11.007,100.7
20.279529,6.234057,11.007,75.2
140.106673,26.314383,11.007,79.1
175.203315,2.980010,11.007,78.7
24.379488,-55.869411,11.007,79.0
23.439947,-15.486315,11.007,91.7
104.042552,73.112717,11.007,80.9
130.838346,26.969938,11.007,85.6
63.676410,-45.412086,11.007,89.3
156.487864,25.497686,11.007,95.3
329.689950,-47.220634,11.007,78.9
53.085963,-22.722713,11.007,111.5
50.709557,-21.747169,11.007,78.0
47.097621,-24.414871,11.007,86.1
340.293715,-48.128349,11.007,79.5
236.120353,34.275639,11.007,83.3
160.622700,-5.458376,11.007,84.4
195.138982,5.821485,11.007,106.8
340.734941,-41.655029,11.007,75.8
3.621757,-23.699984,11.007,80.6
351.155000,-36.549747,11.008,91.2
227.863084,18.163357,11.008,79.0
346.758382,4.337183,11.008,84.1
143.835627,16.139500,11.008,99.1
319.848767,-44.847866,11.008,82.5
343.267747,-9.822338,11.008,105.4
169.623625,-4.345760,11.008,122.9
188.181043,12.626566,11.008,113.2
145.639179,26.871178,11.008,91.4
30.074050,-25.039602,11.008,88.9
341.580600,-11.382014,11.008,95.1
169.924816,-6.927023,11.008,83.3
73.364332,-16.732430,11.008,76.2
181.774618,38.518036,11.008,85.9
84.015774,-47.640366,11.008,77.4
172.082518,35.779015,11.008,91.1
190.533932,-6.117915,11.008,107.8
2.305070,-55.516403,11.008,90.9
146.932367,-0.258430,11.008,75.8
351.806113,-64.443268,11.008,76.5
199.709661,51.694691,11.008,89.7
356.658788,3.541785,11.008,89.7
216.268399,67.684822,11.008,83.9
139.071597,51.810116,11.008,81.0
197.150807,39.334019,11.008,96.4
7.446522,-13.717327,11.008,77.0
359.036516,-2.968388,11.008,76.9
145.194626,33.496597,11.008,91.4
211.547439,-7.840625,11.008,75.6
63.019012,-33.261971,11.008,90.9
348.991962,26.861929,11.008,81.7
194.137958,-14.154486,11.008,88.2
126.972325,22.255054,11.008,90.9
20.034563,21.611694,11.008,101.7
70.001205,-9.646280,11.008,82.2
4.602137,-50.153053,11.008,102.7
195.525650,18.414034,11.008,80.4
170.768346,15.196231,11.008,87.7
216.180714,46.220680,11.008,136.6
30.812557,-10.307406,11.008,90.2
225.359835,58.978397,11.008,106.1
55.679370,-37.310123,11.008,84.6
216.166407,68.183182,11.008,84.7
20.347197,-11.739420,11.008,85.9
156.539111,7.559476,11.008,86.3
12.828122,-63.682453,11.008,76.6
11.401102,-64.280495,11.008,104.3
219.099209,53.924847,11.008,89.2
324.197397,-64.955826,11.008,79.8
32.857639,-38.074482,11.008,95.1
3.268795,-29.044939,11.008,75.1
55.866716,-3.192184,11.008,95.4
234.679496,42.814281,11.008,86.9
170.978426,27.167658,11.008,130.8
135.881888,20.049873,11.008,86.6
140.462286,28.347727,11.009,81.1
335.575558,-20.885763,11.009,80.7
66.537525,-8.293689,11.009,94.7
226.243313,19.964615,11.009,81.6
193.871714,33.510632,11.009,94.3
50.730067,-22.766703,11.009,87.7
11.051004,39.022141,11.009,80.3
191.294932,78.327026,11.009,101.1
24.708722,7.675707,11.009,92.7
173.563955,63.917908,11.009,76.0
13.344259,16.876511,11.009,111.2
139.235525,15.442069,11.009,95.4
205.685165,74.778557,11.009,88.0
212.773155,44.938091,11.009,90.5
261.632037,75.678284,11.009,95.5
8.359775,-9.545825,11.009,99.9
341.570716,7.541892,11.009,85.8
3.682689,16.881577,11.009,78.7
23.828490,22.380693,11.009,99.7
356.152555,-20.525030,11.009,75.3
28.473014,-54.655346,11.009,79.9
165.777149,-7.494403,11.009,76.9
151.601750,58.798676,11.009,104.1
141.779365,25.601801,11.009,83.0
26.273008,-61.661797,11.009,81.1
132.716719,21.473480,11.009,96.8
223.440088,38.902027,11.009,85.8
213.043333,-0.322999,11.009,88.1
13.861830,-7.832641,11.009,77.3
207.485833,6.941322,11.009,81.3
235.001298,27.137932,11.009,77.2
11.817086,-7.883413,11.009,85.9
31.412611,-23.762415,11.009,82.0
166.493267,-9.570906,11.009,94.8
13.216274,-32.696175,11.009,115.4
234.488322,30.624697,11.009,75.2
176.226658,18.795284,11.009,101.9
164.050625,38.156544,11.009,89.2
62.906785,12.670434,11.009,96.2
15.740995,-7.455837,11.009,87.6
180.224725,-1.593652,11.009,109.1
159.957299,51.645077,11.009,95.0
56.872915,-30.887440,11.009,79.4
55.113149,-31.019190,11.009,75.3
56.825364,-1.028917,11.009,82.6
187.052867,39.271587,11.009,102.8
179.160642,23.934958,11.009,81.3
219.880566,12.536444,11.009,87.9
210.412649,6.487964,11.009,93.2
142.481838,7.252639,11.009,82.0
32.788816,-33.763397,11.009,77.3
353.926730,-17.515680,11.009,85.1
329.791015,-16.190601,11.009,77.1
38.765894,-26.177540,11.009,75.1
18.279145,-41.023266,11.009,98.2
12.078725,-55.032028,11.009,92.0
45.211451,-32.605438,11.009,75.6
124.997745,79.589584,11.009,80.3
213.684760,10.592349,11.009,122.3
356.903805,-8.756874,11.009,91.5
174.245731,33.312656,11.009,89.8
104.205446,71.735161,11.009,93.9
57.342509,-4.856556,11.009,79.3
49.828045,11.992049,11.009,85.4
126.846134,3.270317,11.009,87.0
10.604338,20.928312,11.009,79.4
350.959761,-44.099434,11.010,81.8
238.116571,85.082603,11.010,83.2
43.766302,-7.821130,11.010,87.7
158.608070,5.159748,11.010,81.9
184.141814,2.722774,11.010,87.8
266.881053,47.815010,11.010,77.1
11.127586,-6.908217,11.010,98.7
241.317076,27.306475,11.010,81.5
215.890160,31.893440,11.010,82.5
180.137397,-4.021280,11.010,81.6
31.594994,-22.591656,11.010,78.4
196.784759,3.388505,11.010,75.3
39.136887,-26.458115,11.010,81.1
261.491910,52.554413,11.010,77.2
131.559302,25.479979,11.010,81.6
323.230239,-11.933638,11.010,80.6
167.846527,19.713507,11.010,92.8
165.391127,-1.149879,11.010,78.0
40.221353,-47.136433,11.010,103.1
181.642601,26.761553,11.010,94.2
18.568981,-69.414146,11.010,78.3
43.629719,2.552801,11.010,82.9
351.487014,-3.321859,11.010,84.5
240.312768,10.051163,11.010,81.1
345.882511,-6.731362,11.010,87.3
4.022192,-15.084761,11.010,77.8
348.292321,-28.824215,11.010,95.1
176.885578,17.495052,11.010,121.3
13.028172,-54.999554,11.010,95.7
148.197545,2.827881,11.010,76.5
4.224644,-20.615271,11.010,119.0
18.794994,4.097511,11.010,132.2
325.310618,-41.684959,11.010,88.2
342.041325,14.575860,11.010,84.1
214.720206,31.338436,11.010,78.9
231.951018,34.025211,11.010,77.7
204.211132,1.060615,11.010,86.4
173.031562,-7.824886,11.010,81.7
16.175113,-23.856382,11.010,83.5
190.970553,15.384191,11.010,97.7
34.507147,-11.768534,11.010,114.7
193.294869,59.824615,11.010,108.2
27.974288,-54.137691,11.010,78.0
206.312098,-9.231447,11.010,81.3
185.873516,63.597904,11.010,96.5
15.672324,6.612851,11.010,106.3
3.332980,-25.802158,11.010,106.0
203.210885,-18.401972,11.010,79.9
171.715026,39.490192,11.010,99.1
225.540585,50.869434,11.011,94.1
222.203286,42.607037,11.011,96.7
225.508571,32.244186,11.011,77.7
